[2026-05-18 19:44:30] START dry_run=False input=C:\Users\micke\Desktop\O rebobinador\_extraidos_motor batch=14 output_tag=extraidos_motor_fase7a_pass1_v2_block_57_flash work_queue=exports/review/pass1_v2_block_57.csv
[2026-05-18 19:48:20] drive-download-20260403T124026Z-3-001_224929\1,8cv 4e8p nema42 2 50,60hz 30x68 605012085.pdf -> AMARELO_REVISAR conf=0.90 source=gemini
[2026-05-18 19:48:59] drive-download-20260403T124026Z-3-001_224929\1.5cv 2,4p iec63r 2 260,150hz 70x56.4 605012237.pdf -> VERDE_AUTO_GEMINI conf=0.80 source=gemini
[2026-05-18 19:52:54] drive-download-20260403T124026Z-3-001_224929\605012335.pdf -> AMARELO_REVISAR conf=0.72 source=gemini
[2026-05-18 19:53:15] drive-download-20260403T124026Z-3-001_224929\605013063.pdf -> VERDE_AUTO_GEMINI conf=0.80 source=gemini
[2026-05-18 19:53:44] drive-download-20260403T124026Z-3-001_224929\605013074.pdf -> VERDE_AUTO_GEMINI conf=0.90 source=gemini
[2026-05-18 19:57:34] drive-download-20260403T124026Z-3-001_224929\605013081.pdf -> VERDE_AUTO_GEMINI conf=0.90 source=gemini
[2026-05-18 19:58:03] drive-download-20260403T124026Z-3-001_224929\605013082.pdf -> VERDE_AUTO_GEMINI conf=0.80 source=gemini
[2026-05-18 19:58:44] drive-download-20260403T124026Z-3-001_224929\605013083.pdf -> VERDE_AUTO_GEMINI conf=0.90 source=gemini
[2026-05-18 19:59:12] drive-download-20260403T124026Z-3-001_224929\605013090.pdf -> VERDE_AUTO_GEMINI conf=0.90 source=gemini
[2026-05-18 19:59:39] drive-download-20260403T124026Z-3-001_224929\605013091.pdf -> VERDE_AUTO_GEMINI conf=0.90 source=gemini
[2026-05-18 20:00:03] drive-download-20260403T124026Z-3-001_224929\605013098.pdf -> VERDE_AUTO_GEMINI conf=0.90 source=gemini
[2026-05-18 20:00:33] drive-download-20260403T124026Z-3-001_224929\605013110.pdf -> VERDE_AUTO_GEMINI conf=0.80 source=gemini
[2026-05-18 20:00:54] drive-download-20260403T124026Z-3-001_224929\605013111.pdf -> VERDE_AUTO_GEMINI conf=0.90 source=gemini
[2026-05-18 20:01:25] drive-download-20260403T124026Z-3-001_224929\605013167.pdf -> VERDE_AUTO_GEMINI conf=0.90 source=gemini
