[2026-05-18 21:54:17] START dry_run=False input=C:\Users\micke\Desktop\O rebobinador\_extraidos_motor batch=14 output_tag=extraidos_motor_fase7a_pass1_v2_block_58_flash work_queue=exports/review/pass1_v2_block_58.csv
[2026-05-18 21:54:48] drive-download-20260403T124026Z-3-001_224929\1,8cv 4e8p nema42 2 50,60hz 30x68 605012085.pdf -> AMARELO_REVISAR conf=0.90 source=gemini
[2026-05-18 21:55:28] drive-download-20260403T124026Z-3-001_224929\1.5cv 2,4p iec63r 2 260,150hz 70x56.4 605012237.pdf -> VERDE_AUTO_GEMINI conf=0.80 source=gemini
[2026-05-18 21:59:29] drive-download-20260403T124026Z-3-001_224929\605012335.pdf -> AMARELO_REVISAR conf=0.72 source=gemini
[2026-05-18 21:59:59] drive-download-20260403T124026Z-3-001_224929\605013168.pdf -> VERDE_AUTO_GEMINI conf=0.90 source=gemini
[2026-05-18 22:00:38] drive-download-20260403T124026Z-3-001_224929\605015131.pdf -> VERDE_AUTO_GEMINI conf=0.80 source=gemini
[2026-05-18 22:01:00] drive-download-20260403T124026Z-3-001_224929\605016001.pdf -> VERDE_AUTO_GEMINI conf=0.90 source=gemini
[2026-05-18 22:01:26] drive-download-20260403T124026Z-3-001_224929\605016002.pdf -> VERDE_AUTO_GEMINI conf=0.90 source=gemini
[2026-05-18 22:01:52] drive-download-20260403T124026Z-3-001_224929\605016087.pdf -> VERDE_AUTO_GEMINI conf=0.90 source=gemini
[2026-05-18 22:02:18] drive-download-20260403T124026Z-3-001_224929\605016201.pdf -> VERDE_AUTO_GEMINI conf=0.90 source=gemini
[2026-05-18 22:02:45] drive-download-20260403T124026Z-3-001_224929\605017014.pdf -> VERDE_AUTO_GEMINI conf=0.80 source=gemini
[2026-05-18 22:03:13] drive-download-20260403T124026Z-3-001_224929\605017020.pdf -> VERDE_AUTO_GEMINI conf=0.90 source=gemini
[2026-05-18 22:03:34] drive-download-20260403T124026Z-3-001_224929\605017021.pdf -> VERDE_AUTO_GEMINI conf=0.90 source=gemini
[2026-05-18 22:04:08] drive-download-20260403T124026Z-3-001_224929\605026002.pdf -> VERDE_AUTO_GEMINI conf=0.90 source=gemini
[2026-05-18 22:04:31] drive-download-20260403T124026Z-3-001_224929\605029115.pdf -> VERDE_AUTO_GEMINI conf=0.90 source=gemini
