[2026-05-16 18:12:49] START dry_run=False input=C:\Users\micke\Desktop\O rebobinador\_extraidos_motor batch=14 output_tag=extraidos_motor_fase7a_pass1_v2_block_47_flash work_queue=exports/review/pass1_v2_block_47.csv
[2026-05-16 18:13:18] drive-download-20260403T124026Z-3-001_224929\1,8cv 4e8p nema42 2 50,60hz 30x68 605012085.pdf -> AMARELO_REVISAR conf=0.90 source=gemini
[2026-05-16 18:13:47] drive-download-20260403T124026Z-3-001_224929\1.25cv 4p nema56 12 60hz 90x97.4 605042351.pdf -> VERDE_AUTO_GEMINI conf=0.90 source=gemini
[2026-05-16 18:14:08] drive-download-20260403T124026Z-3-001_224929\1.5cv 2,4p iec63r 2 260,150hz 70x56.4 605012237.pdf -> VERDE_AUTO_GEMINI conf=0.90 source=gemini
[2026-05-16 18:14:39] drive-download-20260403T124026Z-3-001_224929\1.5cv 2p iec63r 2 260hz 30x48.8 605012162.pdf -> VERDE_AUTO_GEMINI conf=0.90 source=gemini
[2026-05-16 18:15:03] drive-download-20260403T124026Z-3-001_224929\1.5cv 2p iec63r 2 260hz 30x48.8 605012206.pdf -> VERDE_AUTO_GEMINI conf=0.90 source=gemini
[2026-05-16 18:15:28] drive-download-20260403T124026Z-3-001_224929\1.5cv 2p iec90 23 60hz 74.4x65 605038017.pdf -> VERDE_AUTO_GEMINI conf=0.80 source=gemini
[2026-05-16 18:15:54] drive-download-20260403T124026Z-3-001_224929\1.5cv 4p iec63r 2 150hz 50x56.4 605012172.pdf -> VERDE_AUTO_GEMINI conf=0.90 source=gemini
[2026-05-16 18:16:19] drive-download-20260403T124026Z-3-001_224929\1.5cv 4p iec80 23 60hz 95x82 605029007.pdf -> VERDE_AUTO_GEMINI conf=0.90 source=gemini
[2026-05-16 18:16:59] drive-download-20260403T124026Z-3-001_224929\1.5cv 4p nema56 12 60hz 85x97.1 605012198.pdf -> VERDE_AUTO_GEMINI conf=0.85 source=gemini
[2026-05-16 18:17:23] drive-download-20260403T124026Z-3-001_224929\1.5cv 4p nema56 24 60hz 90x97.4 605012255.pdf -> VERDE_AUTO_GEMINI conf=0.90 source=gemini
[2026-05-16 18:17:49] drive-download-20260403T124026Z-3-001_224929\1.5cv 6p iec100 234 60hz 150x97.5 606506408.pdf -> VERDE_AUTO_GEMINI conf=0.90 source=gemini
[2026-05-16 18:18:11] drive-download-20260403T124026Z-3-001_224929\1.5cv 6p iec90 23 60hz 110x89.4 605088507 r.pdf -> VERDE_AUTO_GEMINI conf=0.90 source=gemini
[2026-05-16 18:18:29] drive-download-20260403T124026Z-3-001_224929\1.5cv 6p iec90 23 60hz 110x89.4 605088507.pdf -> VERDE_AUTO_GEMINI conf=0.90 source=gemini
[2026-05-16 18:18:46] drive-download-20260403T124026Z-3-001_224929\10cv 2p iec132 234 60hz 112x140 606502419.pdf -> VERDE_AUTO_GEMINI conf=0.90 source=gemini
