id_local,arquivo,lote,ordem,tipo_motor,potencia_cv,rpm,tensao,polos,frequencia,carcaca,ranhuras,pacote_mm,diametro_mm,capacitor,fio_principal,espiras_principal,passo_principal,fio_auxiliar,espiras_auxiliar,passo_auxiliar,status_revisao,motivos_bloqueio,fonte_extracao,confianca,precisa_humano,potencia_cv_original_auditor,potencia_cv_normalizada,audit_normalizacao_rastreavel,audit_power_trace_note,audit_tipo_motor_sugerido,audit_type_trace_note,audit_rpm_original,audit_rpm_normalizado,audit_rpm_trace_note,audit_outlier_mecanico,audit_outlier_trace_note,diametro_mm_original_auditor,diametro_mm_normalizado,espiras_principal_original_auditor,espiras_auxiliar_original_auditor,espiras_principal_normalizada,espiras_auxiliar_normalizada,audit_espiras_trace_note,audit_trace_note,alertas,alertas_warnings,alertas_criticos,n_alertas,n_alertas_blocking,n_alertas_warnings,n_alertas_criticos
000001,drive-download-20260403T124026Z-3-001_224929\605028115.pdf,,1,trifasico,"12,5",2900,220/380/440,2,50,IEC 132,,150,111.80,SEM,2 X 20 + 2 X 21 (COBRE) - 10.5002.010 + 10.5002.008,25:25:25,1:14:16:18,,,,VERDE_AUTO_GEMINI,,gemini,0.90,0,"12,5",,1,decimal_sem_frac_strong_manter_critico_manual,,,2900,,faixa_rpm_2p_monofreq_50Hz=(2500-3200)_ref_padrao_60Hz=(2800-3700),,,111.80,,25:25:25,,,,,faixa_rpm_2p_monofreq_50Hz=(2500-3200)_ref_padrao_60Hz=(2800-3700),"A07_potencia_decimal_sem_evidencia_frac_potencia_cv=12,5",,"A07_potencia_decimal_sem_evidencia_frac_potencia_cv=12,5",1,1,0,1
000002,drive-download-20260403T124026Z-3-001_224929\605028315.pdf,,2,trifasico,"12,5",3490,380/660,2,60,IEC 132,36,,"111,80",SEM,2 X 20 (COBRE) - 10.5002.010,43:43:43,1:14:16:18,,,,VERDE_AUTO_GEMINI,,gemini,0.90,0,"12,5",,,decimal_sem_frac_strong_manter_critico_manual,,,3490,,,,,"111,80",,43:43:43,,,,,,"A07_potencia_decimal_sem_evidencia_frac_potencia_cv=12,5",,"A07_potencia_decimal_sem_evidencia_frac_potencia_cv=12,5",1,1,0,1
000003,drive-download-20260403T124026Z-3-001_224929\605028715.pdf,,3,trifasico,"12,5",3490,220/380/440,2,60,IEC 132,36,140,"111,80",SEM,2 X 20 + 2 X 21 (COBRE) - 10.5002.010 + 10.5002.008,25:25:25,1:14:16:18,,,,VERDE_AUTO_GEMINI,,gemini,0.90,0,"12,5",,,decimal_sem_frac_strong_manter_critico_manual,,,3490,,,,,"111,80",,25:25:25,,,,,,"A07_potencia_decimal_sem_evidencia_frac_potencia_cv=12,5",,"A07_potencia_decimal_sem_evidencia_frac_potencia_cv=12,5",1,1,0,1
000004,drive-download-20260403T124026Z-3-001_224929\605029715.pdf,,4,trifasico,"12,5",1750,220/380/440,4,60,IEC 132,48,150,"148,60 FLAMADO",SEM,6 X 22 (COBRE) - 10.5002.009,25:25,1:10:12,,,,VERDE_AUTO_GEMINI,,gemini,0.90,0,"12,5",,,decimal_sem_frac_strong_manter_critico_manual,,,1750,,,,,"148,60 FLAMADO",,25:25,,,,,,"A07_potencia_decimal_sem_evidencia_frac_potencia_cv=12,5",,"A07_potencia_decimal_sem_evidencia_frac_potencia_cv=12,5",1,1,0,1
000005,drive-download-20260403T124026Z-3-001_224929\605041001.pdf,,5,trifasico,1/3,3583,180,4,120,IEC 63,24,40mm,"56,40",SEM,1 X 24 (COBRE) - 10.5002.002,94:94,1:6:8,,,,VERDE_AUTO_GEMINI,,gemini,0.85,0,1/3,,,,,,3583,,nenhum_in_band; rpms=[3583]; freq=120,,,"56,40",,94:94,,,,,,A08_rpm_fora_faixa_polos_4p_(1200-1900)_rpm=3583,,A08_rpm_fora_faixa_polos_4p_(1200-1900)_rpm=3583,1,1,0,1
000006,drive-download-20260403T124026Z-3-001_224929\605042439.pdf,,6,monofasico,1/2,1700,127/220,4,60,NEMA 48,32,,"81,40",50UF 250VAC,2 X 20 (ALUMINIO),9:21:30,1:4:6:8,1 X 19 (ALUMINIO),12:18:37,1:4:6:8,VERDE_AUTO_GEMINI,,gemini,0.95,0,1/2,,,,,,1700,,,,,"81,40",,9:21:30,12:18:37,,,,,,,,0,0,0,0
000007,drive-download-20260403T124026Z-3-001_224929\605042441.pdf,,7,trifasico,2,1735,220/380,4,60,IEC 90,36,100,,SEM,2 X 23 (COBRE) - 10.5002.001,41,1:8:10 / 1:8,,,,VERDE_AUTO_GEMINI,,gemini,0.80,0,2,,,,,,1735,,,,,,,41,,,,,,,,,0,0,0,0
000008,drive-download-20260403T124026Z-3-001_224929\605042451.pdf,,8,trifasico,1/2,1680,220,4,60,,24,70,"68,00",SEM,1 X 24,120:120,1:6:8,,,,VERDE_AUTO_GEMINI,,gemini,0.90,0,1/2,,,,,,1680,,,,,"68,00",,120:120,,,,,,,,,0,0,0,0
000009,drive-download-20260403T124026Z-3-001_224929\605042463.pdf,,9,monofasico,3/4,1330 / 1650,127/220,4,50/60,NEMA 48,32,75,"81,40",50UF,2 X 18 (ALUMINIO) - 10.5025.012,8:16:21,1:4:6:8,1 X 19 (ALUMINIO) - 10.5025.006,12:16:36,1:4:6:8,VERDE_AUTO_GEMINI,,gemini,0.90,0,3/4,,,,,,1330 / 1650,,,,,"81,40",,8:16:21,12:16:36,,,,,,,,0,0,0,0
000010,drive-download-20260403T124026Z-3-001_224929\605042465.pdf,,10,monofasico,1/3,1700,127/220,4,60,IEC 63,24,55,"56,40",30UF,2 X 24,34:48,1:4:6,1 X 24,28:96,1:4:6,VERDE_AUTO_GEMINI,,gemini,0.90,0,1/3,,,,,,1700,,,,,"56,40",,34:48,28:96,,,,,,,,0,0,0,0
