id_local,arquivo,lote,ordem,tipo_motor,potencia_cv,rpm,tensao,polos,frequencia,carcaca,ranhuras,pacote_mm,diametro_mm,capacitor,fio_principal,espiras_principal,passo_principal,fio_auxiliar,espiras_auxiliar,passo_auxiliar,status_revisao,motivos_bloqueio,fonte_extracao,confianca,precisa_humano
000003,drive-download-20260403T124026Z-3-001_224929\12.5cv 2p iec132 234 60hz 112x150 606502420.pdf,,3,trifasico,12.5,3520,220/380/440,2,60,IEC 132,36,150,112.00,1,4 X 20,22:22:22,1:14:16:18,,,,VERDE_AUTO_GEMINI,,gemini,0.80,0
000004,drive-download-20260403T124026Z-3-001_224929\12.5cv 4p iec132 24 60hz 148.9x190 605084014.pdf,,4,monofasico,"12,5",1755,220-254/440-508,4,60,IEC132,48,,"148,90","2x 60uF 480VAC (brancos), 1x 324/389uF 250VAC (pretos)",6 X 19 (COBRE) - 10.5002.011,7:11:12:12,1:6:8:10:12,4 X 19 (COBRE) - 10.5002.011,6:15:16,1:8:10:12,VERDE_AUTO_GEMINI,,gemini,0.90,0
000005,drive-download-20260403T124026Z-3-001_224929\1cv 2p iec80 23 50hz 61.4x70 605028106.pdf,,5,trifasico,1,2865,220/380,2,50,IEC 80,24,,"61,40",1,2 X 24 (COBRE),73:73,1:10:12,,,,VERDE_AUTO_GEMINI,,gemini,0.90,0
000006,drive-download-20260403T124026Z-3-001_224929\1cv 2p iec80 23 60hz 50x61.4 605015139.pdf,,6,trifasico,1,3435,220/380,2,60,IEC 80,24,50,"61,40",SEM,1 X 21 (COBRE) - 10.5002.008,80:80,1:10:12,,,,VERDE_AUTO_GEMINI,,gemini,0.90,0
000007,"drive-download-20260403T124026Z-3-001_224929\1cv 2p iec90 23 50,60hz 50x74.4 605015208.pdf",,7,trifasico,1,2895 / 3480,220/380,2,50/60,IEC 90,24,50,"74,40",SEM,2 X 23 (ALUMINIO) - 10.5025.005,72:72,1:10:12,,,,VERDE_AUTO_GEMINI,,gemini,0.90,0
000008,drive-download-20260403T124026Z-3-001_224929\1cv 2p nema42 2 60hz 60x57.9 605012266.pdf,,8,trifasico,1,3300,220,2,60,NEMA 42,24,60,"57,90",1,1 X 24,80:80,1:10:12,,,,VERDE_AUTO_GEMINI,,gemini,0.90,0
000009,drive-download-20260403T124026Z-3-001_224929\1cv 2p nema42 23 60hz 70x57.9 605066006.pdf,,9,trifasico,1,3380,220/380,2,60,IEC71,24,70,"57,90",SEM,1 X 24 + 1 X 25 (COBRE) - 10.5002.002 + 10.5002.003,64:64,1:10:12,,,,VERDE_AUTO_GEMINI,,gemini,0.90,0
000010,drive-download-20260403T124026Z-3-001_224929\1cv 2p nema56 23 60hz 50x71.7 605015061.pdf,,10,trifasico,1,3500,220/380,2,60,NEMA 56,24,50,"71,70",SEM,2 X 23 (ALUMINIO) - 10.5025.005,70:70,1:10:12,,,,VERDE_AUTO_GEMINI,,gemini,0.90,0
000011,drive-download-20260403T124026Z-3-001_224929\1cv 4p iec90 23 60hz 89.5x75 605039014.pdf,,11,trifasico,1,1755,220/380,4,60,IEC 90,36,75,"89,50",SEM,1 X 21 (COBRE) - 10.5002.008,58/58,1:8:10 / 1:8,,,,VERDE_AUTO_GEMINI,,gemini,0.80,0
000012,drive-download-20260403T124026Z-3-001_224929\1cv 4p nema42 23 60hz 60x68 605007189.pdf,,12,trifasico,1,1510,220/380,4,60,NEMA 42,24,60,"68,00",SEM,1 X 24 (COBRE) - 10.5002.002,122:122,1:6:8,,,,VERDE_AUTO_GEMINI,,gemini,0.90,0
000013,"drive-download-20260403T124026Z-3-001_224929\1cv 4p nema56 12 50,60hz 65x97.4 605012175.pdf",,13,monofasico,1,1750,110-127/220-254,4,50/60,NEMA 56,32,65,"97,40",40uF 250V (Permanente); 430/516uF 110V (Partida),1 X 18 (COBRE) - 10.5002.012,10:28:40,1:4:6:8,1 X 18 (COBRE) - 10.5002.012,12:18:28,1:4:6:8,VERDE_AUTO_GEMINI,,gemini,0.90,0
000014,drive-download-20260403T124026Z-3-001_224929\1cv 4p nema56 12 60hz 45x97.4 605046030.pdf,,14,monofasico,1,1700,110-127/220-254,4,60,NEMA 56,32,45,"97,40",PERM. 50UF 250VAC; ELETR. 378/454UF 110VAC,2 X 19 (COBRE),7:19:26,1:4:6:8,1 X 19 (COBRE),10:20:34,1:4:6:8,VERDE_AUTO_GEMINI,,gemini,0.90,0
