id_local,arquivo,lote,ordem,tipo_motor,potencia_cv,rpm,tensao,polos,frequencia,carcaca,ranhuras,pacote_mm,diametro_mm,capacitor,fio_principal,espiras_principal,passo_principal,fio_auxiliar,espiras_auxiliar,passo_auxiliar,status_revisao,motivos_bloqueio,fonte_extracao,confianca,precisa_humano
000003,drive-download-20260403T124026Z-3-001_224929\605046034.pdf,,3,monofasico,2,1425,110/220,4,50,NEMA 56,32,,"97,40",30,1 X 19 + 1 X 20 (COBRE) - 10.5002.011 + 10.5002.010,8:20:30,1:4:6:8,1 X 18 (COBRE) - 10.5002.012,12:16:30,1:4:6:8,VERDE_AUTO_GEMINI,,gemini,0.90,0
000004,drive-download-20260403T124026Z-3-001_224929\605050002.pdf,,4,trifasico,1/4,1695,220/380,4,60,IEC 63R,,45mm,"56,40 FLAMADO",SEM,1 X 27 (COBRE) - 10.5002.005,185:185,1:6:8,,,,VERDE_AUTO_GEMINI,,gemini,0.90,0
000005,drive-download-20260403T124026Z-3-001_224929\605050003.pdf,,5,trifasico,1/3,1690,220/380,4,60,,24,55,"56,40",SEM,1 X 26,150-150,1:6:8,,,,VERDE_AUTO_GEMINI,,gemini,1.00,0
000006,drive-download-20260403T124026Z-3-001_224929\605050004.pdf,,6,trifasico,1/2,1680,220/380,4,60,,,70mm,"68,00",SEM,1 X 24 (COBRE) - 10.5002.002,120:120,1:6:8,,,,VERDE_AUTO_GEMINI,,gemini,0.90,0
000007,drive-download-20260403T124026Z-3-001_224929\605051007.pdf,,7,trifasico,"1,5",3420,220/380,2,60,,,,"61,40 FLAMADO",SEM,2 X 23 (COBRE) - 10.5002.001,60:60,1:10:12,*.*.*,*.*.*,*.*.*,VERDE_AUTO_GEMINI,,gemini,1.00,0
000008,drive-download-20260403T124026Z-3-001_224929\605051008.pdf,,8,trifasico,2,3380,220/380,2,60,,,,"61,40",SEM,1 X 22 + 1 X 23 (COBRE) - 10.5002.009 + 10.5002.001,52:52,1:10:12,,,,VERDE_AUTO_GEMINI,,gemini,1.00,0
000009,drive-download-20260403T124026Z-3-001_224929\605051009.pdf,,9,trifasico,3,3470,220/380,2,60,IEC 90,,100mm,"74,20",SEM,3 X 22 (COBRE) - 10.5002.009,36:36,1:10:12,,,,VERDE_AUTO_GEMINI,,gemini,0.80,0
000010,drive-download-20260403T124026Z-3-001_224929\605052001.pdf,,10,trifasico,1/4,3375,220/380,2,60,,24,30mm,49.40,SEM,1 X 28 (COBRE) - 10.5002.006,176:176,1:10:12,,,,VERDE_AUTO_GEMINI,,gemini,1.00,0
000011,drive-download-20260403T124026Z-3-001_224929\605052002.pdf,,11,trifasico,1/3,3380,220/380,2,60,IEC 63R,24,40mm,"49,40",SEM,1 X 27 (COBRE) - 10.5002.005,140:140,1:10:12,,,,VERDE_AUTO_GEMINI,,gemini,0.85,0
000013,drive-download-20260403T124026Z-3-001_224929\605053002.pdf,,13,trifasico,1/4,1695,220/380,4,60,IEC 63R,24,45,"56,40",SEM,1 X 27 (COBRE),185:185,1:6:8,,,,VERDE_AUTO_GEMINI,,gemini,1.00,0
000014,drive-download-20260403T124026Z-3-001_224929\605053003.pdf,,14,trifasico,1/3,1690,220/380,4,60,IEC 63R,,55,"56,40",SEM,1 X 26,150:150,1:6:8,,,,VERDE_AUTO_GEMINI,,gemini,0.95,0
