id_local,arquivo,lote,ordem,tipo_motor,potencia_cv,rpm,tensao,polos,frequencia,carcaca,ranhuras,pacote_mm,diametro_mm,capacitor,fio_principal,espiras_principal,passo_principal,fio_auxiliar,espiras_auxiliar,passo_auxiliar,status_revisao,motivos_bloqueio,fonte_extracao,confianca,precisa_humano
000001,drive-download-20260403T124026Z-3-001_224929\605028115.pdf,,1,trifasico,"12,5",2900,220/380/440,2,50,IEC 132,,150,111.80,SEM,2 X 20 + 2 X 21 (COBRE) - 10.5002.010 + 10.5002.008,25:25:25,1:14:16:18,,,,VERDE_AUTO_GEMINI,,gemini,0.90,0
000002,drive-download-20260403T124026Z-3-001_224929\605028315.pdf,,2,trifasico,"12,5",3490,380/660,2,60,IEC 132,36,,"111,80",SEM,2 X 20 (COBRE) - 10.5002.010,43:43:43,1:14:16:18,,,,VERDE_AUTO_GEMINI,,gemini,0.90,0
000003,drive-download-20260403T124026Z-3-001_224929\605028715.pdf,,3,trifasico,"12,5",3490,220/380/440,2,60,IEC 132,36,140,"111,80",SEM,2 X 20 + 2 X 21 (COBRE) - 10.5002.010 + 10.5002.008,25:25:25,1:14:16:18,,,,VERDE_AUTO_GEMINI,,gemini,0.85,0
000004,drive-download-20260403T124026Z-3-001_224929\605029715.pdf,,4,trifasico,"12,5",1750,220/380/440,4,60,IEC 132,48,150,"148,60 FLAMADO",SEM,6 X 22 (COBRE) - 10.5002.009,25:25,1:10:12,,,,VERDE_AUTO_GEMINI,,gemini,0.90,0
000005,drive-download-20260403T124026Z-3-001_224929\605041001.pdf,,5,trifasico,1/3,3583,180,4,120,IEC 63,24,40mm,"56,40",SEM,1 X 24 (COBRE) - 10.5002.002,94:94,1:6:8,,,,VERDE_AUTO_GEMINI,,gemini,0.85,0
000006,drive-download-20260403T124026Z-3-001_224929\605042002.pdf,,6,monofasico,1/4,1480,127/220,4,60,IEC 63,24,45,"56,40",20UF 250VAC,2 X 25,43:59,1:4:6,1 X 25,31:120,1:4:6,VERDE_AUTO_GEMINI,,gemini,0.90,0
000007,drive-download-20260403T124026Z-3-001_224929\605042034.pdf,,7,monofasico,1/3,1700,127/220,4,60,IEC 63R,24,,"56,40",30UF 250VAC,2 X 24,34:48,1:4:6,1 X 24,28:96,1:4:6,VERDE_AUTO_GEMINI,,gemini,0.90,0
000008,drive-download-20260403T124026Z-3-001_224929\605042047.pdf,,8,monofasico,1/3,1735,127/220,4,60,NEMA 48,32,,"81,40",216/259UF 110VAC,1 X 20 (COBRE),22:46:60,1:4:6:8,1 X 20 (ALUMINIO),15:22:44,1:4:6:8,VERDE_AUTO_GEMINI,,gemini,0.90,0
000009,drive-download-20260403T124026Z-3-001_224929\605042111.pdf,,9,monofasico,1/2,1710,127/220,4,60,NEMA 48,32,60,"81,40",340/408UF,1 X 19 (COBRE),20:42:48,1:4:6:8,1 X 19 (ALUMINIO),10:13:38,1:4:6:8,VERDE_AUTO_GEMINI,,gemini,0.90,0
000010,drive-download-20260403T124026Z-3-001_224929\605042171.pdf,,10,monofasico,1/2,1697,127/220,4,60,NEMA 48,32,50,"81,40",MINI CP 216/259UF 110VAC,2 X 19 (ALUMINIO),11:24:25,1:4:6:8,1 X 20 (ALUMINIO),12:37,1:6:8,VERDE_AUTO_GEMINI,,gemini,0.90,0
000011,drive-download-20260403T124026Z-3-001_224929\605042175.pdf,,11,monofasico,3/4,1705,220,4,60,NEMA 48,32,50,"81,40",30UF 250VAC,2 X 23 (COBRE),20:40:60,1:4:6:8,2 X 24 (COBRE),27:32:56,1:4:6:8,VERDE_AUTO_GEMINI,,gemini,0.90,0
000012,drive-download-20260403T124026Z-3-001_224929\605042195.pdf,,12,trifasico,1/4,1670,220/380,4,60,NEMA 42,,,"68,00",SEM,1 X 26 (ALUMINIO) - 10.5002.004,180,1:6:8,,,,VERDE_AUTO_GEMINI,,gemini,0.90,0
000013,drive-download-20260403T124026Z-3-001_224929\605042208.pdf,,13,monofasico,1/15,1120,127/220,6,60,IEC 63,24,45,"56,40",12UF 380VAC,2 X 29,120,1:4,1 X 27,180,1:4,VERDE_AUTO_GEMINI,,gemini,0.90,0
000014,drive-download-20260403T124026Z-3-001_224929\605042214.pdf,,14,monofasico,1/4,1690,127/220,4,60,IEC 63,24,,"56,40",10.5005.112 CP 25UF 250VAC UL C/ TERMIN,2 X 24 (COBRE) - 10.5002.002,37:48,1:4:6,1 X 24 (COBRE) - 10.5002.002,22:96,1:4:6,VERDE_AUTO_GEMINI,,gemini,0.90,0
