id_local,arquivo,lote,ordem,tipo_motor,potencia_cv,rpm,tensao,polos,frequencia,carcaca,ranhuras,pacote_mm,diametro_mm,capacitor,fio_principal,espiras_principal,passo_principal,fio_auxiliar,espiras_auxiliar,passo_auxiliar,status_revisao,motivos_bloqueio,fonte_extracao,confianca,precisa_humano,categoria,notas,campos_obrig_faltando,alertas_criticos_A,audit_normalizacao_rastreavel,audit_warnings_A,audit_outlier_mecanico,audit_outlier_trace_note,diametro_mm_original_auditor,diametro_mm_normalizado,espiras_principal_original_auditor,espiras_auxiliar_original_auditor,espiras_principal_normalizada,espiras_auxiliar_normalizada,audit_espiras_trace_note,gemini_falhou,gemini_erro_resumo
000001,drive-download-20260408T000529Z-3-001_185960\VENTILADOR 3 VELOCIDADES.pdf,,1,monofasico,,,,4,,,,15MM,46MM,2UF,33,620,4,34,435,4,AMARELO_REVISAR,faltando_obrigatorio,gemini,0.90,1,AMARELO_REVISAR,faltando_obrigatorio,tensao,A09_tensao_vazia,,,,,46MM,,620,435,,,,0,
000002,drive-download-20260408T000511Z-3-001_428675\esquema vent. de ar.pdf,,2,monofasico,,,,8,,,24,,,,,08:20:36,1:3:5,,,1:4:1,AMARELO_REVISAR,faltando_obrigatorio,gemini,0.90,1,AMARELO_REVISAR,faltando_obrigatorio,"tensao,fio_principal,fio_auxiliar,espiras_auxiliar",A09_tensao_vazia;A01_mono_sem_fio_espiras_passo_principal;A02_mono_sem_fio_espiras_passo_auxiliar,1,A06_WARNING_espiras_normalizada_rastreavel,,,,,08:20:36,,8:20:36,,tokens_zeros_espiadas_substring_blob,0,
000003,drive-download-20260408T000529Z-3-001_185960\1d217467-02db-4a7f-8017-ea2f9ac0a715.jpg,,3,monofasico,,,220V,4,60 Hz,,,15,46,,35 AWG,950,4,36 AWG,"V1-250, V2-230, V3-460",4,AMARELO_REVISAR,baixa_confianca_local,gemini,0.70,1,AMARELO_REVISAR,baixa_confianca_local,,,,,,,46,,950,"V1-250, V2-230, V3-460",,,,0,
000004,drive-download-20260408T000529Z-3-001_185960\1d9b3430-0b16-4701-b724-661974ff8b49.jpg,,4,outro,,,220,,60,,,,,PRESENTE,33 AWG,700,4,34 AWG,160:160:320,4,AMARELO_REVISAR,baixa_confianca_local,gemini,0.70,1,AMARELO_REVISAR,baixa_confianca_local,,,1,A10_WARNING_tipo_inferido_com_evidencia=monofasico,,,,,700,160:160:320,,,,0,
000005,drive-download-20260408T000529Z-3-001_185960\324e6cbc-2bab-43ed-9303-2d560b1da7ec.jpg,,5,monofasico,,,,,,,,,,,,,,,,,AMARELO_REVISAR,faltando_obrigatorio;baixa_confianca_local,gemini,0.80,1,AMARELO_REVISAR,faltando_obrigatorio;baixa_confianca_local,"tensao,fio_principal,espiras_principal,passo_principal,fio_auxiliar,espiras_auxiliar,passo_auxiliar",A09_tensao_vazia;A01_mono_sem_fio_espiras_passo_principal;A02_mono_sem_fio_espiras_passo_auxiliar,,,,,,,,,,,,0,
000006,drive-download-20260408T000529Z-3-001_185960\8bc49b76-90d1-4f38-bd2f-86cd93ad3689.jpg,,6,outro,,,127,4,60,,8,25,45,,30 AWG COBRE,445,,31 AWG COBRE,535,,AMARELO_REVISAR,baixa_confianca_local,gemini,0.70,1,AMARELO_REVISAR,baixa_confianca_local,,A10_tipo_vazio_ou_desconhecido,,,,,45,,445,535,,,,0,
000007,drive-download-20260408T000529Z-3-001_185960\bda2a6e0-62ba-4738-8a58-964852f4ad8d.jpg,,7,outro,,,220 VOLTS,,,,,30 mm,94 mm,,1 X 29 AWG ALUMÍNIO,390,1-4,1 X 30 COBRE,390,1-4,AMARELO_REVISAR,baixa_confianca_local,gemini,0.60,1,AMARELO_REVISAR,baixa_confianca_local,,,1,A10_WARNING_tipo_inferido_com_evidencia=monofasico,,,94 mm,,390,390,,,,0,
000008,drive-download-20260408T000529Z-3-001_185960\dc81f9cf-0541-4d2d-87c5-686e9c194c01.jpg,,8,outro,,,220 VOLTS,,,,24 CANAIS,15 mm,70 mm,,AWG 30,330,6,AWG 30,170,4,AMARELO_REVISAR,baixa_confianca_local,gemini,0.70,1,AMARELO_REVISAR,baixa_confianca_local,,,1,A10_WARNING_tipo_inferido_com_evidencia=monofasico,,,70 mm,,330,170,,,,0,
000009,drive-download-20260408T000529Z-3-001_185960\f837d1fb-1d86-4e42-aa6a-9eaa9c696086.jpg,,9,outro,,,,,,,,20,45,,33,700,,34,640,,AMARELO_REVISAR,faltando_obrigatorio;baixa_confianca_local,gemini,0.70,1,AMARELO_REVISAR,faltando_obrigatorio;baixa_confianca_local,tensao,A10_tipo_vazio_ou_desconhecido;A09_tensao_vazia,,,,,45,,700,640,,,,0,
000010,drive-download-20260408T000605Z-3-001_290649\arno.jpg,,10,outro,75,,380/660,6,,ER 250,54,27cm,31cm,,1/16 /13,25,.6 8 10,,,,AMARELO_REVISAR,baixa_confianca_local,gemini,0.70,1,AMARELO_REVISAR,baixa_confianca_local,,A10_tipo_vazio_ou_desconhecido,,,,,31cm,,25,,,,,0,
000011,drive-download-20260408T000443Z-3-001_253069\REGULADOR CR.pdf,,11,outro,,,,,,,,,,,,,,,,,VERMELHO_REVISAR,faltando_obrigatorio;baixa_confianca_local,gemini,0.20,1,VERMELHO_DADO_RUIM,faltando_obrigatorio;baixa_confianca_local,tensao,A10_tipo_vazio_ou_desconhecido;A09_tensao_vazia,,,,,,,,,,,,0,
000012,drive-download-20260408T000629Z-3-001_255314\24.jpg,,12,outro,"1,5",,220 380,6,,,36,12,6,,1X19,34 MC,1-6,,,,VERDE_AUTO_GEMINI,baixa_confianca_local,gemini,0.90,0,VERDE_COM_ALERTA,A*:A10_tipo_vazio_ou_desconhecido,,A10_tipo_vazio_ou_desconhecido,,,,,6,,34 MC,,,,,0,
000013,drive-download-20260408T000629Z-3-001_255314\BUFALO 1.jpg,,13,outro,"1,5",,220 X 380,6,,,36,,,,1X19,34 MC,1-6,,,,VERDE_AUTO_GEMINI,baixa_confianca_local,gemini,0.90,0,VERDE_COM_ALERTA,A*:A10_tipo_vazio_ou_desconhecido,,A10_tipo_vazio_ou_desconhecido,,,,,,,34 MC,,,,,0,
