id_local,arquivo,lote,ordem,tipo_motor,potencia_cv,rpm,tensao,polos,frequencia,carcaca,ranhuras,pacote_mm,diametro_mm,capacitor,fio_principal,espiras_principal,passo_principal,fio_auxiliar,espiras_auxiliar,passo_auxiliar,status_revisao,motivos_bloqueio,fonte_extracao,confianca,precisa_humano,categoria,notas,campos_obrig_faltando,alertas_criticos_A,audit_normalizacao_rastreavel,audit_warnings_A,audit_outlier_mecanico,audit_outlier_trace_note,diametro_mm_original_auditor,diametro_mm_normalizado,espiras_principal_original_auditor,espiras_auxiliar_original_auditor,espiras_principal_normalizada,espiras_auxiliar_normalizada,audit_espiras_trace_note,gemini_falhou,gemini_erro_resumo
000001,"drive-download-20260403T124026Z-3-001_224929\1,8cv 4e8p nema42 2 50,60hz 30x68 605012085.pdf",,1,monofasico,1/8,790 / 1700,220,4 e 8,50/60,NEMA 42,24,,"68,00",12UF 250VAC,1 X 29,380,1:4,,,,AMARELO_REVISAR,faltando_obrigatorio,gemini,0.90,1,AMARELO_REVISAR,faltando_obrigatorio,"fio_auxiliar,espiras_auxiliar,passo_auxiliar",A02_mono_sem_fio_espiras_passo_auxiliar;A08_rpm_fora_faixa_polos_4p_(1200-1900)_rpm=790,,,,,"68,00",,380,,,,,0,
000002,"drive-download-20260403T124026Z-3-001_224929\1.5cv 2,4p iec63r 2 260,150hz 70x56.4 605012237.pdf",,2,trifasico,"1,5",14000 / 4200,220,2/4,260/150,IEC 63R,,70mm,"56,40",SEM,1 X 23 (COBRE) - 10.5002.001,62:62,1:6:8,,,,VERDE_AUTO_GEMINI,,gemini,0.90,0,VERDE_COM_ALERTA,A*:A08_rpm_absoluto_absurdo_rpm=14000,,A08_rpm_absoluto_absurdo_rpm=14000,,,,,"56,40",,62:62,,,,,0,
000003,drive-download-20260403T124026Z-3-001_224929\605012154.pdf,,3,trifasico,1/2,3300,220,4,120,IEC 63R,24,30,"56,40",SEM,1 X 24,92:92,1:6:8,,,,VERDE_AUTO_GEMINI,,gemini,0.90,0,VERDE_COM_ALERTA,A*:A08_rpm_fora_faixa_polos_4p_(1200-1900)_rpm=3300,,A08_rpm_fora_faixa_polos_4p_(1200-1900)_rpm=3300,,,,,"56,40",,92:92,,,,,0,
000004,drive-download-20260403T124026Z-3-001_224929\605012170.pdf,,4,trifasico,"1,5",15270,220,2,260,IEC 63R,24,45,"48,80",SEM,1 X 22 (COBRE) - 10.5002.009,45:45,1:10:12,,,,VERDE_AUTO_GEMINI,,gemini,0.80,0,VERDE_COM_ALERTA,A*:A08_rpm_absoluto_absurdo_rpm=15270,,A08_rpm_absoluto_absurdo_rpm=15270,,,,,"48,80",,45:45,,,,,0,
000005,drive-download-20260403T124026Z-3-001_224929\605012203.pdf,,5,trifasico,1/8,540,220/380,12,60,NEMA 48,36,40,"81,40",1,1 X 28,270,1:4,,,,VERDE_AUTO_GEMINI,,gemini,0.90,0,VERDE_SEGURO,,,,,,,,"81,40",,270,,,,,0,
000006,drive-download-20260403T124026Z-3-001_224929\605012205.pdf,,6,trifasico,3,3355,220/380,2,60,NEMA 48,24,100,71.70,SEM,1 X 18 (COBRE) - 10.5002.012,40:40,1:10:12,,,,VERDE_AUTO_GEMINI,,gemini,0.90,0,VERDE_SEGURO,,,,,,,,71.70,,40:40,,,,,0,
000007,drive-download-20260403T124026Z-3-001_224929\605012216.pdf,,7,monofasico,1/2,1650,127/220,4,60,NEMA 48,,,"81,40",10.5005.114 CP 45UF 250V AC C/ TERMINA,1 X 20 (ALUMINIO) - 10.5025.003,22:44:60,1:4:6:8,1 X 20 (ALUMINIO) - 10.5025.003,12:18:44,1:4:6:8,VERDE_AUTO_GEMINI,,gemini,0.95,0,VERDE_SEGURO,,,,,,,,"81,40",,22:44:60,12:18:44,,,,0,
000008,drive-download-20260403T124026Z-3-001_224929\605012228.pdf,,8,trifasico,1/3,1690,220/380,4,60,IEC 63R,24,55,"56,40","56,40",1 X 26 (COBRE) - 10.5002.004,150:150,1:6:8,,,,VERDE_AUTO_GEMINI,,gemini,0.90,0,VERDE_SEGURO,,,,,,,,"56,40",,150:150,,,,,0,
000009,drive-download-20260403T124026Z-3-001_224929\605012236.pdf,,9,trifasico,2,3420,220/380,2,60,NEMA 48,24,,"71,70",SEM,2 X 22 (COBRE) - 10.5002.009,50:50,1:10:12,,,,VERDE_AUTO_GEMINI,,gemini,0.90,0,VERDE_SEGURO,,,,,,,,"71,70",,50:50,,,,,0,
000010,drive-download-20260403T124026Z-3-001_224929\605012264.pdf,,10,monofasico,1/4,3480,127/220,2,60,NEMA 42,24,40,"57,90",20UF 250VAC,1 X 22 (ALUMINIO),50:58:74:76,1:6:8:10:12,1 X 22 (ALUMINIO),16:24:74:76,1:6:8:10:12,VERDE_AUTO_GEMINI,,gemini,0.90,0,VERDE_SEGURO,,,,,,,,"57,90",,50:58:74:76,16:24:74:76,,,,0,
000011,drive-download-20260403T124026Z-3-001_224929\605012274.pdf,,11,monofasico,1/2,1135,110-127/220-254,6,60,IEC 80,,,"81,20",30UF 250VAC,2 X 23,12:35,1:4:6,1 X 22,36:56,1:4:6,VERDE_AUTO_GEMINI,,gemini,0.90,0,VERDE_SEGURO,,,,,,,,"81,20",,12:35,36:56,,,,0,
000012,drive-download-20260403T124026Z-3-001_224929\605012278.pdf,,12,trifasico,"1,5",1730,220/380,4,60,IEC 80,36,,"81,50",SEM,1 X 24 + 1 X 25 (COBRE),46,1:8/10,,,,VERDE_AUTO_GEMINI,,gemini,0.90,0,VERDE_SEGURO,,,,,,,,"81,50",,46,,,,,0,
000013,drive-download-20260403T124026Z-3-001_224929\605012286.pdf,,13,trifasico,1,1526,220/380,4,60,NEMA 42,24,,"68,00",SEM,1 X 23,98/98,1:6:8,,,,VERDE_AUTO_GEMINI,,gemini,0.90,0,VERDE_SEGURO,,,,,,,,"68,00",,98/98,,,,,0,
000014,drive-download-20260403T124026Z-3-001_224929\605012309.pdf,,14,trifasico,"1,5",15190,220,2,260,,,,"48,80",SEM,1 X 23 (COBRE) - 10.5002.001,55:55,1:10:12,,,,VERDE_AUTO_GEMINI,,gemini,0.90,0,VERDE_COM_ALERTA,A*:A08_rpm_absoluto_absurdo_rpm=15190,,A08_rpm_absoluto_absurdo_rpm=15190,,,,,"48,80",,55:55,,,,,0,
