id_local,arquivo,lote,ordem,tipo_motor,potencia_cv,rpm,tensao,polos,frequencia,carcaca,ranhuras,pacote_mm,diametro_mm,capacitor,fio_principal,espiras_principal,passo_principal,fio_auxiliar,espiras_auxiliar,passo_auxiliar,status_revisao,motivos_bloqueio,fonte_extracao,confianca,precisa_humano
000001,drive-download-20260408T000517Z-3-001_345175\ventiladores 2.pdf,,1,outro,,,,,,,,15.5,70,,30,183.363,,30,183.363,,AMARELO_REVISAR,faltando_obrigatorio;baixa_confianca_local,gemini,0.80,1
000002,drive-download-20260408T000517Z-3-001_345175\ventiladores 1.pdf,,2,outro,,,,,,,,14,46,1.5,33,735,,34,,,AMARELO_REVISAR,faltando_obrigatorio;baixa_confianca_local,gemini,0.90,1
000003,drive-download-20260408T000517Z-3-001_345175\ventiladores 3.pdf,,3,outro,,,,,,,,17.5,44,,32,635,,34,,80.152.455,AMARELO_REVISAR,faltando_obrigatorio;baixa_confianca_local,gemini,0.90,1
000004,drive-download-20260408T000529Z-3-001_185960\VENTILADOR 3 VELOCIDADES.pdf,,4,monofasico,,,,4,,,,15MM,46MM,2UF,33,620,4,34,435,4,AMARELO_REVISAR,faltando_obrigatorio,gemini,0.90,1
000005,drive-download-20260408T000511Z-3-001_428675\esquema vent. de ar.pdf,,5,monofasico,,,,8,,,24,,,,,08:20:36,1:3:5,,,1:4,AMARELO_REVISAR,faltando_obrigatorio,gemini,0.90,1
000006,drive-download-20260408T000529Z-3-001_185960\1d217467-02db-4a7f-8017-ea2f9ac0a715.jpg,,6,monofasico,,,220,,60,,,15,46,Sim,35 AWG,950,4,36 AWG,"V1-250, V2-230, V3-460",4,AMARELO_REVISAR,baixa_confianca_local,gemini,0.70,1
000007,drive-download-20260408T000529Z-3-001_185960\1d9b3430-0b16-4701-b724-661974ff8b49.jpg,,7,outro,,,220,,60,,,,,,33 AWG,700,4,34 AWG,320,4,AMARELO_REVISAR,baixa_confianca_local,gemini,0.70,1
000008,drive-download-20260408T000529Z-3-001_185960\324e6cbc-2bab-43ed-9303-2d560b1da7ec.jpg,,8,monofasico,,,,,,,,,,,,,,,,,AMARELO_REVISAR,faltando_obrigatorio;baixa_confianca_local,gemini,0.80,1
000009,drive-download-20260408T000529Z-3-001_185960\8bc49b76-90d1-4f38-bd2f-86cd93ad3689.jpg,,9,outro,,,127/220,4,60,,8,25,45,,30 AWG COBRE,445,,31 AWG COBRE,535,,AMARELO_REVISAR,baixa_confianca_local,gemini,0.60,1
000010,drive-download-20260408T000529Z-3-001_185960\bda2a6e0-62ba-4738-8a58-964852f4ad8d.jpg,,10,outro,,,220 VOLTS,,,,,30 mm,94 mm,,1 X 29 AWG ALUMÍNIO,390,1-4,1 X 30 COBRE,390,1-4,AMARELO_REVISAR,baixa_confianca_local,gemini,0.60,1
000011,drive-download-20260408T000529Z-3-001_185960\dc81f9cf-0541-4d2d-87c5-686e9c194c01.jpg,,11,outro,,,220 VOLTS,,,,24 CANAIS,15 mm,70 mm,,AWG 30,330,6,AWG 30,170,4,AMARELO_REVISAR,baixa_confianca_local,gemini,0.70,1
000012,drive-download-20260408T000529Z-3-001_185960\f837d1fb-1d86-4e42-aa6a-9eaa9c696086.jpg,,12,outro,,,,,,40cm,,20mm,45mm,,33,700,,34,640,,AMARELO_REVISAR,faltando_obrigatorio;baixa_confianca_local,gemini,0.90,1
000013,drive-download-20260408T000443Z-3-001_253069\REGULADOR CR.pdf,,13,outro,,,,,,,,,,,,,,,,,VERMELHO_REVISAR,faltando_obrigatorio;baixa_confianca_local,gemini,0.20,1
000014,drive-download-20260408T000605Z-3-001_290649\41.jpg,,14,outro,1/3,,220/380,4,,,36,,,,1X28,110 MC,1-8,,,,VERDE_AUTO_GEMINI,baixa_confianca_local,gemini,0.80,0
