id_local,arquivo,lote,ordem,tipo_motor,potencia_cv,rpm,tensao,polos,frequencia,carcaca,ranhuras,pacote_mm,diametro_mm,capacitor,fio_principal,espiras_principal,passo_principal,fio_auxiliar,espiras_auxiliar,passo_auxiliar,status_revisao,motivos_bloqueio,fonte_extracao,confianca,precisa_humano
000004,drive-download-20260403T124026Z-3-001_224929\605013063.pdf,,4,trifasico,1/2,2820,220/380,2,50,IEC 63R,24,50,"49,40",SEM,1 X 27 (COBRE),130:130,1:10:12,,,,VERDE_AUTO_GEMINI,,gemini,0.80,0
000005,drive-download-20260403T124026Z-3-001_224929\605013074.pdf,,5,monofasico,1/2,1675,127/220,4,60,NEMA 42,,,"68,00",30UF 250VAC,2 X 22,22:40,1:4:6,1 X 22,36:80,1:4:6,VERDE_AUTO_GEMINI,,gemini,0.90,0
000006,drive-download-20260403T124026Z-3-001_224929\605013081.pdf,,6,monofasico,1/8,1600,220,4,60,NEMA 42,24,35mm,"68,00",8UF 440VAC,1 X 25 (COBRE),110:160,1:4:6,1 X 25 (COBRE),50:160,1:4:6,VERDE_AUTO_GEMINI,,gemini,0.90,0
000007,drive-download-20260403T124026Z-3-001_224929\605013082.pdf,,7,trifasico,1/2,1670,480,4,60,IEC 63R,24,70,"56,33",SEM,1 X 27 (COBRE) - 10.5002.005,160:160,1:6:8,,,,VERDE_AUTO_GEMINI,,gemini,0.80,0
000008,drive-download-20260403T124026Z-3-001_224929\605013083.pdf,,8,trifasico,1/2,3375,220/380,2,60,IEC 63R,24,50mm,"49,40",SEM,1 X 26 (COBRE),115:115,1:10:12,,,,VERDE_AUTO_GEMINI,,gemini,0.90,0
000009,drive-download-20260403T124026Z-3-001_224929\605013090.pdf,,9,trifasico,1/2,1640,220/380/440,4,60,NEMA 42,24,50,"68,00",1,1 X 28 (COBRE),314:314,1:6:8,,,,VERDE_AUTO_GEMINI,,gemini,0.90,0
000010,drive-download-20260403T124026Z-3-001_224929\605013091.pdf,,10,trifasico,3/4,1610,220/380/440,4,60,NEMA 42,24,60,"68,00",SEM,1 X 27 (COBRE),258:258,1:6:8,,,,VERDE_AUTO_GEMINI,,gemini,0.90,0
000011,drive-download-20260403T124026Z-3-001_224929\605013098.pdf,,11,trifasico,"1,5",1620,220/380,4,60,NEMA 48,36,90,"81,40",SEM,1 X 21 (COBRE),52:52:52,1:8:10:12,,,,VERDE_AUTO_GEMINI,,gemini,0.90,0
000012,drive-download-20260403T124026Z-3-001_224929\605013110.pdf,,12,trifasico,1/8,1750,220/380,4,60,NEMA 48,36,30,"81,40",SEM,1 X 28 (COBRE) - 10.5002.006,130:130:130,1:8:10:12,,,,VERDE_AUTO_GEMINI,,gemini,0.80,0
000013,drive-download-20260403T124026Z-3-001_224929\605013111.pdf,,13,trifasico,1/2,1720,220/380/440,4,60,NEMA 48,36,,"81,40",SEM,1 X 27 (COBRE) - 10.5002.005,200:200:200,1:8:10:12,,,,VERDE_AUTO_GEMINI,,gemini,0.90,0
000014,drive-download-20260403T124026Z-3-001_224929\605013167.pdf,,14,trifasico,1,1710,220/380,4,60,NEMA 48,36,90,,SEM,1 X 21 (COBRE) - 10.5002.008,52:52:52,1:8:10:12,,,,VERDE_AUTO_GEMINI,,gemini,0.90,0
