id_local,arquivo,lote,ordem,tipo_motor,potencia_cv,rpm,tensao,polos,frequencia,carcaca,ranhuras,pacote_mm,diametro_mm,capacitor,fio_principal,espiras_principal,passo_principal,fio_auxiliar,espiras_auxiliar,passo_auxiliar,status_revisao,motivos_bloqueio,fonte_extracao,confianca,precisa_humano
000005,drive-download-20260403T124026Z-3-001_224929\5cv 2p iec90 23 60hz 130x74.2 605038015.pdf,,5,trifasico,5,3445,220/380,2,60,IEC 90,24,130,"74,20",SEM,2 X 21 + 1 X 20 (COBRE) - 10.5002.008 + 10.5002.010,26:26,1:10:12,,,,VERDE_AUTO_GEMINI,,gemini,0.90,0
000006,drive-download-20260403T124026Z-3-001_224929\5cv 4p iec100 234 60hz 160x97.5 606504415.pdf,,6,trifasico,5,1750,220/380/440,4,60,IEC 100,36,160,"97,50",SEM,2 X 22 + 1 X 24 (COBRE) - 10.5002.009 + 10.5002.002,41/41/41,1:8:10 / 1:8,,,,VERDE_AUTO_GEMINI,,gemini,0.90,0
000007,drive-download-20260403T124026Z-3-001_224929\605007110.pdf,,7,monofasico,1/3,1530,127,4,60,IEC 63R,24,,"56,40",45UF 250VAC,1 X 23,34:68,1:4:6,1 X 23,34:68,1:4:6,VERDE_AUTO_GEMINI,,gemini,0.90,0
000008,drive-download-20260403T124026Z-3-001_224929\605007130.pdf,,8,trifasico,1/2,1600,220/380,4,60,IEC 63R,24,50,"56,40",1,1 X 27,170:170,1:6:8,,,,VERDE_AUTO_GEMINI,,gemini,0.90,0
000009,drive-download-20260403T124026Z-3-001_224929\605007145.pdf,,9,trifasico,1,1526,220/380,4,60,NEMA 42,24,,"68,00",SEM,1 X 23 (COBRE) - 10.5002.001,98:98,1:6:8,,,,VERDE_AUTO_GEMINI,,gemini,0.90,0
000010,drive-download-20260403T124026Z-3-001_224929\605007148.pdf,,10,trifasico,1,1510,220/380,4,60,NEMA 42,24,60mm,"68,00",SEM,1 X 24 (COBRE) - 10.5002.002,122:122,1:6:8,,,,VERDE_AUTO_GEMINI,,gemini,0.90,0
000011,drive-download-20260403T124026Z-3-001_224929\605007153.pdf,,11,monofasico,1/2,1435,220,4,60,NEMA 42,24,70,"68,00",20UF 380VAC,1 X 22 (ALUMINIO),42:84,1:4:6,1 X 22 (ALUMINIO),42:84,1:4:6,VERDE_AUTO_GEMINI,,gemini,0.90,0
000012,drive-download-20260403T124026Z-3-001_224929\605007169.pdf,,12,monofasico,1/4,1530,220,4,60,IEC 63 MUELLER,,50,"56,40",12UF 380VAC,1 X 24 (ALUMINIO),38:128,1:4:6,1 X 24 (ALUMINIO),90:92,1:4:6,VERDE_AUTO_GEMINI,,gemini,0.90,0
000013,drive-download-20260403T124026Z-3-001_224929\605007181.pdf,,13,trifasico,1/3,1625,220,4,60,IEC 63,24,60,"56,40",SEM,1 X 25 (ALUMINIO),94:94,1:6:8,,,,VERDE_AUTO_GEMINI,,gemini,0.90,0
000014,drive-download-20260403T124026Z-3-001_224929\605012082.pdf,,14,trifasico,1/2,1675,220/380,4,60,NEMA 48,36,,"81,40",1,1 X 25 (ALUMINIO),116:116:116,1:8:10:12,,,,VERDE_AUTO_GEMINI,,gemini,0.95,0
