id_local,arquivo,lote,ordem,tipo_motor,potencia_cv,rpm,tensao,polos,frequencia,carcaca,ranhuras,pacote_mm,diametro_mm,capacitor,fio_principal,espiras_principal,passo_principal,fio_auxiliar,espiras_auxiliar,passo_auxiliar,status_revisao,motivos_bloqueio,fonte_extracao,confianca,precisa_humano,potencia_cv_original_auditor,potencia_cv_normalizada,audit_normalizacao_rastreavel,audit_power_trace_note,audit_tipo_motor_sugerido,audit_type_trace_note,audit_rpm_original,audit_rpm_normalizado,audit_rpm_trace_note,audit_outlier_mecanico,audit_outlier_trace_note,diametro_mm_original_auditor,diametro_mm_normalizado,espiras_principal_original_auditor,espiras_auxiliar_original_auditor,espiras_principal_normalizada,espiras_auxiliar_normalizada,audit_espiras_trace_note,audit_trace_note,alertas,alertas_warnings,alertas_criticos,n_alertas,n_alertas_blocking,n_alertas_warnings,n_alertas_criticos
000001,"drive-download-20260403T124026Z-3-001_224929\1,8cv 4e8p nema42 2 50,60hz 30x68 605012085.pdf",,1,monofasico,1/8,790 / 1700,220,4 e 8,50/60,NEMA 42,24,,"68,00",12UF 250VAC,1 X 29,380,1:4,,,,AMARELO_REVISAR,faltando_obrigatorio,gemini,0.90,1,1/8,,,,,,790 / 1700,,"fora_sem_evid; rpms=[790, 1700]; freq=50/60",,,"68,00",,380,,,,,,A02_mono_sem_fio_espiras_passo_auxiliar;A08_rpm_fora_faixa_polos_4p_(1200-1900)_rpm=790;S_pipeline_AMARELO_REVISAR,,A02_mono_sem_fio_espiras_passo_auxiliar;A08_rpm_fora_faixa_polos_4p_(1200-1900)_rpm=790,3,2,0,2
000002,drive-download-20260403T124026Z-3-001_224929\1.25cv 4p nema56 12 60hz 90x97.4 605042351.pdf,,2,monofasico,"1,25",1720,110-127/220-254,4,60,NEMA 56,,,"97,40",540/648UF 110VAC,2 X 19,12:25:26,1:4:6:8,1 X 18,10:30,1:6:8,VERDE_AUTO_GEMINI,,gemini,0.90,0,"1,25",,,,,,1720,,,,,"97,40",,12:25:26,10:30,,,,,,,,0,0,0,0
000003,"drive-download-20260403T124026Z-3-001_224929\1.5cv 2,4p iec63r 2 260,150hz 70x56.4 605012237.pdf",,3,trifasico,"1,5",14000 / 4200,220,2/4,260/150,IEC 63R,,70mm,"56,40",SEM,1 X 23 (COBRE) - 10.5002.001,62:62,1:6:8,,,,VERDE_AUTO_GEMINI,,gemini,0.90,0,"1,5",,,,,,14000 / 4200,,"absurdo_gt5000; rpms=[14000, 4200]",,,"56,40",,62:62,,,,,,A08_rpm_absoluto_absurdo_rpm=14000,,A08_rpm_absoluto_absurdo_rpm=14000,1,1,0,1
000004,drive-download-20260403T124026Z-3-001_224929\1.5cv 2p iec63r 2 260hz 30x48.8 605012162.pdf,,4,trifasico,"1,5",15190,220,2,260,IEC 63R,24,,"48,80",SEM,1 X 23 (COBRE) - 10.5002.001,55:55,1:10:12,,,,VERDE_AUTO_GEMINI,,gemini,0.90,0,"1,5",,,,,,15190,,absurdo_gt5000; rpms=[15190],,,"48,80",,55:55,,,,,,A08_rpm_absoluto_absurdo_rpm=15190,,A08_rpm_absoluto_absurdo_rpm=15190,1,1,0,1
000005,drive-download-20260403T124026Z-3-001_224929\1.5cv 2p iec63r 2 260hz 30x48.8 605012206.pdf,,5,trifasico,"1,5",15190,220,2,260,,24,,"48,80",SEM,1 X 23 (COBRE) - 10.5002.001,55:55,1:10:12,,,,VERDE_AUTO_GEMINI,,gemini,0.90,0,"1,5",,,,,,15190,,absurdo_gt5000; rpms=[15190],,,"48,80",,55:55,,,,,,A08_rpm_absoluto_absurdo_rpm=15190,,A08_rpm_absoluto_absurdo_rpm=15190,1,1,0,1
000006,drive-download-20260403T124026Z-3-001_224929\1.5cv 2p iec90 23 60hz 74.4x65 605038017.pdf,,6,trifasico,1.5,3495,220/380,2,60,IEC 90,24,65,74.40,SEM,1 X 21 + 1 X 22 (ALUMINIO) - 10.5025.004 + 10.5025.002,53:53,1:10:12,,,,VERDE_AUTO_GEMINI,,gemini,0.80,0,1.5,,,,,,3495,,,,,74.40,,53:53,,,,,,,,,0,0,0,0
000007,drive-download-20260403T124026Z-3-001_224929\1.5cv 4p iec63r 2 150hz 50x56.4 605012172.pdf,,7,trifasico,"1,5",4210,220,4,150,IEC 63R,24,50,"56,40",SEM,1 X 23 (COBRE) - 10.5002.001,72:72,1:6:8,,,,VERDE_AUTO_GEMINI,,gemini,0.90,0,"1,5",,,,,,4210,,nenhum_in_band; rpms=[4210]; freq=150,,,"56,40",,72:72,,,,,,A08_rpm_fora_faixa_polos_4p_(1200-1900)_rpm=4210,,A08_rpm_fora_faixa_polos_4p_(1200-1900)_rpm=4210,1,1,0,1
000008,drive-download-20260403T124026Z-3-001_224929\1.5cv 4p iec80 23 60hz 95x82 605029007.pdf,,8,trifasico,"1,5",1730,220/380,4,60,IEC 80,36,95,"81,50",SEM,1 X 24 + 1 X 25 (COBRE) - 10.5002.002 + 10.5002.003,46/46/46,1:8/10/1:8,,,,VERDE_AUTO_GEMINI,,gemini,0.90,0,"1,5",,,,,,1730,,,,,"81,50",,46/46/46,,,,,,,,,0,0,0,0
000009,drive-download-20260403T124026Z-3-001_224929\1.5cv 4p nema56 12 60hz 85x97.1 605012198.pdf,,9,monofasico,"1,5",1740,110-127/220-254,4,60,NEMA 56,32,85,"97,10",VER EM OBSERVAÇÕES,1 X 19 + 1 X 20 (COBRE) - 10.5002.011 + 10.5002.010,14:24:29,1:4:6:8,1 X 19 (COBRE) - 10.5002.011,8:10:34,1:4:6:8,VERDE_AUTO_GEMINI,,gemini,0.85,0,"1,5",,,,,,1740,,,,,"97,10",,14:24:29,8:10:34,,,,,,,,0,0,0,0
000010,drive-download-20260403T124026Z-3-001_224929\1.5cv 4p nema56 24 60hz 90x97.4 605012255.pdf,,10,monofasico,"1,5",1750,220-254/440-508,4,60,NEMA 56,32,90,"97,40","PERM. 15UF 400VAC, ELETR. 145/175UF 250VAC",1 X 19 (COBRE),24:44:52,1:4:6:8,1 X 21 (COBRE),12:18:60,1:4:6:8,VERDE_AUTO_GEMINI,,gemini,0.90,0,"1,5",,,,,,1750,,,,,"97,40",,24:44:52,12:18:60,,,,,,,,0,0,0,0
