id_local,arquivo,lote,ordem,tipo_motor,potencia_cv,rpm,tensao,polos,frequencia,carcaca,ranhuras,pacote_mm,diametro_mm,capacitor,fio_principal,espiras_principal,passo_principal,fio_auxiliar,espiras_auxiliar,passo_auxiliar,status_revisao,motivos_bloqueio,fonte_extracao,confianca,precisa_humano
000003,drive-download-20260403T124026Z-3-001_224929\3cv 6p iec100 23 60hz 130x97.3 605072009.pdf,,3,trifasico,3,1150,220/380,6,60,IEC 100,36,,"97,30 FLAMADO",SEM,1 X 21 + 2 X 22 (COBRE) - 10.5002.008 + 10.5002.009,33,1:6,,,,VERDE_AUTO_GEMINI,,gemini,0.90,0
000004,drive-download-20260403T124026Z-3-001_224929\3cv 6p iec132 234 60hz 148.9x130 606506412.pdf,,4,trifasico,3,1175,220/380/440,6,60,IEC 132,36,130,"148,90",SEM,1 X 20 + 1 X 21 (COBRE) - 10.5002.010 + 10.5002.008,74,1:6,,,,VERDE_AUTO_GEMINI,,gemini,0.90,0
000005,drive-download-20260403T124026Z-3-001_224929\4cv 2p iec100 234 60hz 89.1x110 606502413.pdf,,5,trifasico,4,3500,220/380/440,2,60,IEC 100,36,110,"89,10",SEM,1 X 21 + 1 X 22 (COBRE) - 10.5002.008 + 10.5002.009,46:46:46,1:14:16:18,,,,VERDE_AUTO_GEMINI,,gemini,0.90,0
000006,drive-download-20260403T124026Z-3-001_224929\4cv 2p iec90 23 60hz 120x74.2 605015238.pdf,,6,trifasico,4,3440,220/380,2,60,,,120,74.20,SEM,2 X 22 + 2 X 23 (COBRE) - 10.5002.009 + 10.5002.001,31:31,1:10:12,*.*.*,*.*.*,*.*.*,VERDE_AUTO_GEMINI,,gemini,0.90,0
000007,drive-download-20260403T124026Z-3-001_224929\4cv 2p iec90 23 60hz 130x74.2 605038014.pdf,,7,trifasico,4,3475,220/380,2,60,IEC 90,24,130,"74,20",1,4 X 22 (COBRE) - 10.5002.009,28:28,1:10:12,,,,VERDE_AUTO_GEMINI,,gemini,0.80,0
000008,drive-download-20260403T124026Z-3-001_224929\4cv 2p iec90 23 60hz 74.2x115 605028510.pdf,,8,trifasico,4,3470,220/380,2,60,IEC 90,24,115,"74,20",1,3 X 21,29:29,1:10:12,,,,VERDE_AUTO_GEMINI,,gemini,0.90,0
000009,drive-download-20260403T124026Z-3-001_224929\4cv 2p iec90 234 60hz 74.2x115 605028710.pdf,,9,trifasico,4,3480,220/380/440,2,60,IEC 90,24,,"74,20",SEM,1 X 22 + 1 X 23 (COBRE) - 10.5002.009 + 10.5002.001,58:58,1:10:12,,,,VERDE_AUTO_GEMINI,,gemini,0.90,0
000010,drive-download-20260403T124026Z-3-001_224929\4cv 2p iec90 234 60hz 74.2x120 606502412.pdf,,10,trifasico,4,3440,220/380/440,2,60,IEC 90,24,120,"74,20",SEM,1 X 22 + 1 X 23 (COBRE) - 10.5002.009 + 10.5002.001,62:62,1:10:12,,,,VERDE_AUTO_GEMINI,,gemini,0.85,0
000011,drive-download-20260403T124026Z-3-001_224929\4cv 4p iec100 23 60hz 85x97.3 605012265.pdf,,11,trifasico,4,1725,220/380,4,60,IEC 100,36,85,"97,30",SEM,1 X 20 (ALUMINIO),66,1:8:10 / 1:8,,,,VERDE_AUTO_GEMINI,,gemini,0.80,0
000012,drive-download-20260403T124026Z-3-001_224929\506000001.pdf,,12,trifasico,1,2660,160,2,50,NEMA 42,24,,"57,90",SEM,1 X 22 (COBRE),72:72,1:10:12,,,,VERDE_AUTO_GEMINI,,gemini,0.90,0
000013,drive-download-20260403T124026Z-3-001_224929\506001002.pdf,,13,trifasico,1/3,1687,155,4,60,IEC 63R,24,,"56,33",SEM,1 X 25 (COBRE) - 10.5002.003,115:115,1:6:8,,,,VERDE_AUTO_GEMINI,,gemini,0.90,0
000014,drive-download-20260403T124026Z-3-001_224929\506001024.pdf,,14,trifasico,"1,5",3420,220,2,60,IEC 80,,,"61,40",SEM,2 X 23 (COBRE) - 10.5002.001,60:60,1:10:12,,,,VERDE_AUTO_GEMINI,,gemini,0.80,0
