id_local,arquivo,lote,ordem,tipo_motor,potencia_cv,rpm,tensao,polos,frequencia,carcaca,ranhuras,pacote_mm,diametro_mm,capacitor,fio_principal,espiras_principal,passo_principal,fio_auxiliar,espiras_auxiliar,passo_auxiliar,status_revisao,motivos_bloqueio,fonte_extracao,confianca,precisa_humano
000001,drive-download-20260403T124026Z-3-001_224929\605028115.pdf,,1,trifasico,"12,5",2900,220/380/440,2,50,IEC 132,36,150,111.80 FLAMADO,SEM,2 X 20 + 2 X 21 (COBRE),25:25:25,1:14:16:18,,,,VERDE_AUTO_GEMINI,,gemini,0.80,0
000002,drive-download-20260403T124026Z-3-001_224929\605028315.pdf,,2,trifasico,"12,5",3490,380/660,2,60,IEC 132,36,,"111,80",SEM,2 X 20,43:43:43,1:14:16:18,,,,VERDE_AUTO_GEMINI,,gemini,0.95,0
000003,drive-download-20260403T124026Z-3-001_224929\605028715.pdf,,3,trifasico,"12,5",3490,220/380/440,2,60,IEC 132,36,140,"111,80",SEM,2 X 20 + 2 X 21 (COBRE) - 10.5002.010 + 10.5002.008,25:25:25,1:14:16:18,,,,VERDE_AUTO_GEMINI,,gemini,0.90,0
000004,drive-download-20260403T124026Z-3-001_224929\605029715.pdf,,4,trifasico,"12,5",1750,220/380/440,4,60,IEC 132,48,150,"148,60 FLAMADO",SEM,6 X 22 (COBRE) - 10.5002.009,25:25,1:10:12,,,,VERDE_AUTO_GEMINI,,gemini,0.90,0
000005,drive-download-20260403T124026Z-3-001_224929\605041001.pdf,,5,trifasico,1/3,3583,180,4,120,IEC 63,,,"56,40",SEM,1 X 24 (COBRE) - 10.5002.002,94:94,1:6:8,"***,***","***,***","***,***",VERDE_AUTO_GEMINI,,gemini,0.90,0
000006,drive-download-20260403T124026Z-3-001_224929\605042344.pdf,,6,monofasico,1/3,1710,127/220,4,60,IEC 63,24,60,"56,40",30UF 250VAC,2 X 24 (COBRE) - 10.5002.002,32:45,1:4:6,1 X 24 (COBRE) - 10.5002.002,26:90,1:4:6,VERDE_AUTO_GEMINI,,gemini,0.90,0
000007,drive-download-20260403T124026Z-3-001_224929\605042352.pdf,,7,monofasico,2,1720,110-127/220-254,4,60,NEMA 56,32,,"97,10",378/454UF,2 X 18,10:18:21,1:4:6:8,1 X 18,7:9:30,1:4:6:8,VERDE_AUTO_GEMINI,,gemini,0.90,0
000008,drive-download-20260403T124026Z-3-001_224929\605042355.pdf,,8,monofasico,"1,25",1435 / 1735,110-127/220-254,4,50/60,NEMA 56,32,65mm,"97,40",VER EM OBSERVAÇÕES,1 X 18 (COBRE) - 10.5002.012,10:28:40,1:4:6:8,2 X 21 (COBRE) - 10.5002.008,10:16:28,1:4:6:8,VERDE_AUTO_GEMINI,,gemini,0.90,0
000009,drive-download-20260403T124026Z-3-001_224929\605042356.pdf,,9,monofasico,1/2,1350,220,4,50,NEMA 48,32,45,"81,40",50UF 250VAC,2 X 23 (ALUMINIO),26:62:64,1:4:6:8,2 X 23 (ALUMINIO),18:44,1:6:8,VERDE_AUTO_GEMINI,,gemini,0.90,0
000010,drive-download-20260403T124026Z-3-001_224929\605042358.pdf,,10,monofasico,3/4,1400,220,4,50,NEMA 48,32,70,"81,40",340/408UF 110VAC,1 X 18 (COBRE),20:39:40,1:4:6:8,1 X 20 (ALUMINIO),12:44,1:6:8,VERDE_AUTO_GEMINI,,gemini,0.80,0
000011,drive-download-20260403T124026Z-3-001_224929\605042371.pdf,,11,monofasico,1/4,1695,127/220,4,60,IEC 63R,24,50mm,"56,40",30UF 250VAC,2 X 25 (COBRE) - 10.5002.003,35:57,1:4:6,1 X 24 (COBRE) - 10.5002.002,34:90,1:4:6,VERDE_AUTO_GEMINI,,gemini,0.90,0
000012,drive-download-20260403T124026Z-3-001_224929\605042386.pdf,,12,monofasico,1/3,1585,127/220,4,60,NEMA 42,24,50,"68,00",40UF 250VAC,2 X 22 (ALUMINIO) - 10.5025.002,33:42,1:4:6,1 X 21 (ALUMINIO) - 10.5025.004,14:68,1:4:6,VERDE_AUTO_GEMINI,,gemini,0.90,0
000013,drive-download-20260403T124026Z-3-001_224929\605042394.pdf,,13,monofasico,3/4,1135,220-254,6,60,NEMA 48,36,,"81,20",20UF 400VAC,2 X 22,20:44,1:4:6,2 X 23,28:56,1:4:6,VERDE_AUTO_GEMINI,,gemini,0.90,0
000014,drive-download-20260403T124026Z-3-001_224929\605042421.pdf,,14,trifasico,3/4,1680,220/380,4,60,NEMA 48,36,40,"81,40",SEM,1 X 24 (COBRE) - 10.5002.002,90:90:90,1:8:10:12,,,,VERDE_AUTO_GEMINI,,gemini,0.90,0
