id_local,arquivo,lote,ordem,tipo_motor,potencia_cv,rpm,tensao,polos,frequencia,carcaca,ranhuras,pacote_mm,diametro_mm,capacitor,fio_principal,espiras_principal,passo_principal,fio_auxiliar,espiras_auxiliar,passo_auxiliar,status_revisao,motivos_bloqueio,fonte_extracao,confianca,precisa_humano,categoria,notas,campos_obrig_faltando,alertas_criticos_A,audit_normalizacao_rastreavel,audit_warnings_A,audit_outlier_mecanico,audit_outlier_trace_note,diametro_mm_original_auditor,diametro_mm_normalizado,espiras_principal_original_auditor,espiras_auxiliar_original_auditor,espiras_principal_normalizada,espiras_auxiliar_normalizada,audit_espiras_trace_note,gemini_falhou,gemini_erro_resumo
000001,"drive-download-20260403T124026Z-3-001_224929\1,8cv 4e8p nema42 2 50,60hz 30x68 605012085.pdf",,1,monofasico,1/8,790 / 1700,220,4 e 8,50/60,NEMA 42,24,,"68,00",12UF 250VAC,1 X 29,380,1:4,,,,AMARELO_REVISAR,faltando_obrigatorio,gemini,0.90,1,AMARELO_REVISAR,faltando_obrigatorio,"fio_auxiliar,espiras_auxiliar,passo_auxiliar",A02_mono_sem_fio_espiras_passo_auxiliar;A08_rpm_fora_faixa_polos_4p_(1200-1900)_rpm=790,,,,,"68,00",,380,,,,,0,
000002,"drive-download-20260403T124026Z-3-001_224929\1.5cv 2,4p iec63r 2 260,150hz 70x56.4 605012237.pdf",,2,trifasico,"1,5",14000 / 4200,220,2/4,260/150,IEC 63R,24,70mm,"56,40",1,1 X 23 (COBRE) - 10.5002.001,62:62,1:6:8,,,,VERDE_AUTO_GEMINI,,gemini,0.80,0,VERDE_COM_ALERTA,A*:A08_rpm_absoluto_absurdo_rpm=14000,,A08_rpm_absoluto_absurdo_rpm=14000,,,,,"56,40",,62:62,,,,,0,
000003,drive-download-20260403T124026Z-3-001_224929\605012335.pdf,,3,trifasico,1,3410,220/380/440,2,60,NEMA 42,24,70,"57,90",SEM,1 X 25,124:124,1:10:12,,,,AMARELO_REVISAR,,gemini,0.72,1,AMARELO_REVISAR,,,,,,,,"57,90",,124:124,,,,,0,
000004,drive-download-20260403T124026Z-3-001_224929\605012382.pdf,,4,trifasico,3,1740,220/380,4,60,IEC 100,36,100,"97,30",SEM,2 X 23 (COBRE) - 10.5002.001,65/65/65,1:8:10 / 1:8,,,,VERDE_AUTO_GEMINI,,gemini,0.90,0,VERDE_SEGURO,,,,,,,,"97,30",,65/65/65,,,,,0,
000005,drive-download-20260403T124026Z-3-001_224929\605012385.pdf,,5,trifasico,4,1700,220/380,4,60,IEC 90,36,,89.40,SEM,1 X 21 + 1 X 22 (COBRE) - 10.5002.008 - 10.5002.009,32/32/32,1:8/10/1:8,,,,VERDE_AUTO_GEMINI,,gemini,0.90,0,VERDE_SEGURO,,,,,,,,89.40,,32/32/32,,,,,0,
000006,drive-download-20260403T124026Z-3-001_224929\605012388.pdf,,6,monofasico,1/6,1310 / 1615,127/220,4,50/60,NEMA 42 MUELLER,24,,"68,00",10.5005.109 CP 15UF 250VAC UL C/ TERMIN,2 X 24 (ALUMINIO) - 10.5025.001,43:68,1:4:6,1 X 25 (ALUMINIO) - 10.5025.007,56:120,1:4:6,VERDE_AUTO_GEMINI,,gemini,0.85,0,VERDE_SEGURO,,,,,,,,"68,00",,43:68,56:120,,,,0,
000007,drive-download-20260403T124026Z-3-001_224929\605012397.pdf,,7,trifasico,1,1620,220/380,4,60,NEMA 42,24,85,"68,10",SEM,1 X 22 (COBRE) - 10.5002.009,91:91,1:6:8,,,,VERDE_AUTO_GEMINI,,gemini,0.90,0,VERDE_SEGURO,,,,,,,,"68,10",,91:91,,,,,0,
000008,drive-download-20260403T124026Z-3-001_224929\605012403.pdf,,8,trifasico,"1,5",1685,220/380/440,4,60,IEC 80,36,95,"81,50",1,1 X 25 (COBRE),116:116:116,1:8:10:12,,,,VERDE_AUTO_GEMINI,,gemini,0.85,0,VERDE_SEGURO,,,,,,,,"81,50",,116:116:116,,,,,0,
000009,drive-download-20260403T124026Z-3-001_224929\605012404.pdf,,9,trifasico,2,1700,220/380/440,4,60,IEC 80,36,130,"81,50",SEM,1 X 26 + 1 X 27 (COBRE) - 10.5002.004 + 10.5002.005,80/80,1:8/10/1:8,,,,VERDE_AUTO_GEMINI,,gemini,0.90,0,VERDE_SEGURO,,,,,,,,"81,50",,80/80,,,,,0,
000010,drive-download-20260403T124026Z-3-001_224929\605012405.pdf,,10,trifasico,3,1700,220/380/440,4,60,IEC 90,36,110,89.50,1,1 X 22 (COBRE) - 10.5002.009,78/78,1:8:10:12,,,,VERDE_AUTO_GEMINI,,gemini,0.90,0,VERDE_SEGURO,,,,,,,,89.50,,78/78,,,,,0,
