id_local,arquivo,lote,ordem,tipo_motor,potencia_cv,rpm,tensao,polos,frequencia,carcaca,ranhuras,pacote_mm,diametro_mm,capacitor,fio_principal,espiras_principal,passo_principal,fio_auxiliar,espiras_auxiliar,passo_auxiliar,status_revisao,motivos_bloqueio,fonte_extracao,confianca,precisa_humano,potencia_cv_original_auditor,potencia_cv_normalizada,audit_normalizacao_rastreavel,audit_power_trace_note,audit_tipo_motor_sugerido,audit_type_trace_note,audit_rpm_original,audit_rpm_normalizado,audit_rpm_trace_note,audit_outlier_mecanico,audit_outlier_trace_note,diametro_mm_original_auditor,diametro_mm_normalizado,espiras_principal_original_auditor,espiras_auxiliar_original_auditor,espiras_principal_normalizada,espiras_auxiliar_normalizada,audit_espiras_trace_note,audit_trace_note,alertas,alertas_warnings,alertas_criticos,n_alertas,n_alertas_blocking,n_alertas_warnings,n_alertas_criticos
000001,"drive-download-20260403T124026Z-3-001_224929\1,8cv 4e8p nema42 2 50,60hz 30x68 605012085.pdf",,1,monofasico,1/8,790 / 1700,220,4 e 8,50/60,NEMA 42,24,,"68,00",12UF 250VAC,1 X 29,380,1:4,,,,AMARELO_REVISAR,faltando_obrigatorio,gemini,0.90,1,1/8,,,,,,790 / 1700,,"fora_sem_evid; rpms=[790, 1700]; freq=50/60",,,"68,00",,380,,,,,,A02_mono_sem_fio_espiras_passo_auxiliar;A08_rpm_fora_faixa_polos_4p_(1200-1900)_rpm=790;S_pipeline_AMARELO_REVISAR,,A02_mono_sem_fio_espiras_passo_auxiliar;A08_rpm_fora_faixa_polos_4p_(1200-1900)_rpm=790,3,2,0,2
000002,"drive-download-20260403T124026Z-3-001_224929\1.5cv 2,4p iec63r 2 260,150hz 70x56.4 605012237.pdf",,2,trifasico,"1,5",14000 / 4200,220,2/4,260/150,IEC 63R,24,70mm,"56,40",1,1 X 23 (COBRE) - 10.5002.001,62:62,1:6:8,,,,VERDE_AUTO_GEMINI,,gemini,0.80,0,"1,5",,,,,,14000 / 4200,,"absurdo_gt5000; rpms=[14000, 4200]",,,"56,40",,62:62,,,,,,A08_rpm_absoluto_absurdo_rpm=14000,,A08_rpm_absoluto_absurdo_rpm=14000,1,1,0,1
000003,drive-download-20260403T124026Z-3-001_224929\12.5cv 2p iec132 234 60hz 112x150 606502420.pdf,,3,trifasico,12.5,3520,220/380/440,2,60,IEC 132,36,150,112.00,1,4 X 20,22:22:22,1:14:16:18,,,,VERDE_AUTO_GEMINI,,gemini,0.80,0,12.5,,1,filename_decimal_cv_echo_12.5,,,3520,,,,,112.00,,22:22:22,,,,,filename_decimal_cv_echo_12.5,A07_WARNING_potencia_decimal_filename_evidencia;potencia_cv=12.5,A07_WARNING_potencia_decimal_filename_evidencia;potencia_cv=12.5,,1,0,1,0
000004,drive-download-20260403T124026Z-3-001_224929\12.5cv 4p iec132 24 60hz 148.9x190 605084014.pdf,,4,monofasico,"12,5",1755,220-254/440-508,4,60,IEC132,48,,"148,90","2x 60uF 480VAC (brancos), 1x 324/389uF 250VAC (pretos)",6 X 19 (COBRE) - 10.5002.011,7:11:12:12,1:6:8:10:12,4 X 19 (COBRE) - 10.5002.011,6:15:16,1:8:10:12,VERDE_AUTO_GEMINI,,gemini,0.90,0,"12,5",,1,filename_decimal_cv_echo_12.5,,,1755,,,,,"148,90",,7:11:12:12,6:15:16,,,,filename_decimal_cv_echo_12.5,"A07_WARNING_potencia_decimal_filename_evidencia;potencia_cv=12,5","A07_WARNING_potencia_decimal_filename_evidencia;potencia_cv=12,5",,1,0,1,0
000005,drive-download-20260403T124026Z-3-001_224929\1cv 2p iec80 23 50hz 61.4x70 605028106.pdf,,5,trifasico,1,2865,220/380,2,50,IEC 80,24,,"61,40",1,2 X 24 (COBRE),73:73,1:10:12,,,,VERDE_AUTO_GEMINI,,gemini,0.90,0,1,,1,,,,2865,,faixa_rpm_2p_monofreq_50Hz=(2500-3200)_ref_padrao_60Hz=(2800-3700),,,"61,40",,73:73,,,,,faixa_rpm_2p_monofreq_50Hz=(2500-3200)_ref_padrao_60Hz=(2800-3700),,,,0,0,0,0
000006,drive-download-20260403T124026Z-3-001_224929\1cv 2p iec80 23 60hz 50x61.4 605015139.pdf,,6,trifasico,1,3435,220/380,2,60,IEC 80,24,50,"61,40",SEM,1 X 21 (COBRE) - 10.5002.008,80:80,1:10:12,,,,VERDE_AUTO_GEMINI,,gemini,0.90,0,1,,,,,,3435,,,,,"61,40",,80:80,,,,,,,,,0,0,0,0
000007,"drive-download-20260403T124026Z-3-001_224929\1cv 2p iec90 23 50,60hz 50x74.4 605015208.pdf",,7,trifasico,1,2895 / 3480,220/380,2,50/60,IEC 90,24,50,"74,40",SEM,2 X 23 (ALUMINIO) - 10.5025.005,72:72,1:10:12,,,,VERDE_AUTO_GEMINI,,gemini,0.90,0,1,,,,,,2895 / 3480,,,,,"74,40",,72:72,,,,,,,,,0,0,0,0
000008,drive-download-20260403T124026Z-3-001_224929\1cv 2p nema42 2 60hz 60x57.9 605012266.pdf,,8,trifasico,1,3300,220,2,60,NEMA 42,24,60,"57,90",1,1 X 24,80:80,1:10:12,,,,VERDE_AUTO_GEMINI,,gemini,0.90,0,1,,,,,,3300,,,,,"57,90",,80:80,,,,,,,,,0,0,0,0
000009,drive-download-20260403T124026Z-3-001_224929\1cv 2p nema42 23 60hz 70x57.9 605066006.pdf,,9,trifasico,1,3380,220/380,2,60,IEC71,24,70,"57,90",SEM,1 X 24 + 1 X 25 (COBRE) - 10.5002.002 + 10.5002.003,64:64,1:10:12,,,,VERDE_AUTO_GEMINI,,gemini,0.90,0,1,,,,,,3380,,,,,"57,90",,64:64,,,,,,,,,0,0,0,0
000010,drive-download-20260403T124026Z-3-001_224929\1cv 2p nema56 23 60hz 50x71.7 605015061.pdf,,10,trifasico,1,3500,220/380,2,60,NEMA 56,24,50,"71,70",SEM,2 X 23 (ALUMINIO) - 10.5025.005,70:70,1:10:12,,,,VERDE_AUTO_GEMINI,,gemini,0.90,0,1,,,,,,3500,,,,,"71,70",,70:70,,,,,,,,,0,0,0,0
