id_local,arquivo,lote,ordem,tipo_motor,potencia_cv,rpm,tensao,polos,frequencia,carcaca,ranhuras,pacote_mm,diametro_mm,capacitor,fio_principal,espiras_principal,passo_principal,fio_auxiliar,espiras_auxiliar,passo_auxiliar,status_revisao,motivos_bloqueio,fonte_extracao,confianca,precisa_humano
000001,"drive-download-20260403T124026Z-3-001_224929\1,8cv 4e8p nema42 2 50,60hz 30x68 605012085.pdf",,1,monofasico,1/8,790 / 1700,220,4 e 8,50/60,NEMA 42,24,,"68,00",12UF 250VAC,1 X 29 (COBRE),380,1:4,,,,AMARELO_REVISAR,faltando_obrigatorio,gemini,0.90,1
000002,"drive-download-20260403T124026Z-3-001_224929\1.5cv 2,4p iec63r 2 260,150hz 70x56.4 605012237.pdf",,2,trifasico,"1,5",14000 / 4200,220,2/4,260/150,IEC 63R,,70mm,"56,40",SEM,1 X 23 (COBRE) - 10.5002.001,62:62,1:6:8,,,,VERDE_AUTO_GEMINI,,gemini,0.90,0
000003,drive-download-20260403T124026Z-3-001_224929\1cv 6p iec90 2 60hz 110x89.4 605042418.pdf,,3,trifasico,1,1145,220,6,60,IEC 90,36,,"89,40","- 10.5005.113 - CAPACITOR PERM. 40UF 250VAC UL C/ TERMINAL (LIGADO NOS CABOS BRANCOS)
- 10.5038.009 - CAPACITOR ELETR. 378/454UF 110VAC C/ TERMINAL 1L (LIGADO NOS CABOS PRETOS)",1 X 21 (COBRE) - 10.5002.008,54,1:6,,,,VERDE_AUTO_GEMINI,,gemini,0.85,0
000004,drive-download-20260403T124026Z-3-001_224929\1cv 6p iec90 234 60hz 89.5x130 606506406.pdf,,4,trifasico,1,1145,220/380/440,6,60,IEC 90,36,130 mm,89.50,1,1 X 24 (COBRE) - 10.5002.002,120,1:6,,,,VERDE_AUTO_GEMINI,,gemini,0.85,0
000005,drive-download-20260403T124026Z-3-001_224929\1cv 8p iec90 23 60hz 110x89.4 605013254.pdf,,5,trifasico,1,840,220/380,8,60,IEC 90,36,110mm,"89,40",SEM,1 X 22 (COBRE) - 10.5002.009,68 / 68,1:4:6 / 1:6,,,,VERDE_AUTO_GEMINI,,gemini,0.80,0
000006,drive-download-20260403T124026Z-3-001_224929\1cv 8p iec90 234 60hz 120x89.4 605012358 r.pdf,,6,trifasico,1,835,220/380/440,8,60,,36,,"89,40",SEM,1 X 25 (COBRE),130/130,1:4:6 / 1:6,,,,VERDE_AUTO_GEMINI,,gemini,0.85,0
000007,drive-download-20260403T124026Z-3-001_224929\1cv 8p iec90 234 60hz 120x89.4 605012358.pdf,,7,trifasico,1,835,220/380/440,8,60,IEC 90,36,120,89.40,SEM,1 X 25 (COBRE) - 10.5002.003,130:130 / 130,1:4:6 / 1:6,,,,VERDE_AUTO_GEMINI,,gemini,0.85,0
000008,drive-download-20260403T124026Z-3-001_224929\2cv 2p iec63r 23 60hz 80x49.4 605012125.pdf,,8,trifasico,2,3210,220/380,2,60,,24,80,"49,40",SEM,1 X 23,61:61,1:10:12,,,,VERDE_AUTO_GEMINI,,gemini,0.90,0
000009,drive-download-20260403T124026Z-3-001_224929\2cv 2p iec80 1 50hz 61.2x70 506000009.pdf,,9,trifasico,2,2650,160,2,50,IEC 80,24,70,"61,20",SEM,2 X 23 (COBRE) - 10.5002.001,57:57,1:10:12,,,,VERDE_AUTO_GEMINI,,gemini,0.85,0
000010,drive-download-20260403T124026Z-3-001_224929\2cv 2p nema48 23 60hz 80x71.7 605012332.pdf,,10,trifasico,2,3420,220/380,2,60,NEMA 48,24,80mm,"71,70",SEM,2 X 22 (COBRE) - 10.5002.009,50:50,1:10:12,,,,VERDE_AUTO_GEMINI,,gemini,0.90,0
000011,drive-download-20260403T124026Z-3-001_224929\2cv 4p iec90 2 60hz 100x89.4 605013248.pdf,,11,trifasico,2,1735,220,4,60,IEC 90,,100,"89,40",SEM,2 X 23 (COBRE) - 10.5002.001,41 / 41,1:8:10 / 1:8,,,,VERDE_AUTO_GEMINI,,gemini,0.90,0
000012,"drive-download-20260403T124026Z-3-001_224929\2cv 4p iec90 23 50,60hz 120x89.4 605012268 r.pdf",,12,trifasico,2,1450 / 1740,220/380,4,50/60,IEC 90,36,,"89,40",SEM,1 X 22 + 1 X 23 (COBRE) - 10.5002.009 + 10.5002.001,36:36 / 36,1:8:10 / 1:8,,,,VERDE_AUTO_GEMINI,,gemini,0.90,0
000013,"drive-download-20260403T124026Z-3-001_224929\2cv 4p iec90 23 50,60hz 120x89.4 605012268.pdf",,13,trifasico,2,1450 / 1740,220/380,4,50/60,IEC 90,36,,"89,40",SEM,1 X 22 + 1 X 23 (COBRE) - 10.5002.009 + 10.5002.001,36 / 36,1:8 / 1:10 / 1:8,,,,VERDE_AUTO_GEMINI,,gemini,0.80,0
000014,drive-download-20260403T124026Z-3-001_224929\2cv 4p iec90 23 60hz 100x89.4 605013169.pdf,,14,trifasico,2,1740,220/380,4,60,IEC90,,,89.40,SEM,1 X 22 + 1 X 23 (COBRE) - 10.5002.009 + 10.5002.001,38:38 / 38,1:8:10 / 1:8,,,,VERDE_AUTO_GEMINI,,gemini,0.90,0
