id_local,arquivo,lote,ordem,tipo_motor,potencia_cv,rpm,tensao,polos,frequencia,carcaca,ranhuras,pacote_mm,diametro_mm,capacitor,fio_principal,espiras_principal,passo_principal,fio_auxiliar,espiras_auxiliar,passo_auxiliar,status_revisao,motivos_bloqueio,fonte_extracao,confianca,precisa_humano
000001,drive-download-20260408T000443Z-3-001_253069\REGULADOR EB.pdf,,1,outro,,,220V,,,,,,,,,,,,,,VERMELHO_REVISAR,baixa_confianca_local,gemini,0.00,1
000002,drive-download-20260408T000443Z-3-001_253069\REGULADOR ESCOVA.pdf,,2,outro,,,,,,,,,,,,,,,,,VERMELHO_REVISAR,faltando_obrigatorio;baixa_confianca_local,gemini,0.00,1
000003,drive-download-20260408T000443Z-3-001_253069\ROT.PDF,,3,outro,,,,4,60,,,90,160.50,,14,170,,,,,AMARELO_REVISAR,faltando_obrigatorio;baixa_confianca_local,gemini,1.00,1
000004,drive-download-20260408T000443Z-3-001_253069\TC.PDF,,4,outro,"7,5 KVA",,220 / 127 VOLTS,,60 HZ,,,25 mm,,,"# 12 DE Cu ESMALTADO, CLASSE H, 180°C (5,9 A/mm²)",55,,"# 15 DE Cu ESMALTADO, CLASSE H, 180°C (4,1 A/mm²)",140,,VERDE_AUTO_GEMINI,baixa_confianca_local,gemini,1.00,0
000005,drive-download-20260408T000511Z-3-001_428675\60HZ_VENT-AVIARIO_MOTO-FRICCAO.pdf,,5,outro,1/2,,220 / 380 V,VI,60 Hz,A56,48,55,100,,2 x 26,121,8:10,,,,VERDE_AUTO_GEMINI,,gemini,1.00,0
000006,drive-download-20260408T000511Z-3-001_428675\esquema vent. de ar.pdf,,6,outro,,,,8,,,24,,,,,08:20:36,1:3:5,,,1:4:1,AMARELO_REVISAR,faltando_obrigatorio,gemini,0.80,1
000007,drive-download-20260408T000511Z-3-001_428675\ventilador de ar.pdf,,7,monofasico,1/15,,220,8,60,GSK 63,24,35,57,14 mF/250 VAC,29AWG 2X29AWG,227,1:3:5,27AWG,174,1:4,VERDE_AUTO_GEMINI,,gemini,0.90,0
000008,drive-download-20260408T000517Z-3-001_345175\ventiladores 1.pdf,,8,outro,,,,,,,,,,,,,,,,,VERMELHO_REVISAR,faltando_obrigatorio;baixa_confianca_local;gemini_falhou:unknown_error:Extra data: line 63 column 4 (char 1389),local,0.00,1
000009,drive-download-20260408T000517Z-3-001_345175\ventiladores 2.pdf,,9,outro,,,,,,,,15.5,70,,30,183.363,,30,183.363,,AMARELO_REVISAR,faltando_obrigatorio;baixa_confianca_local,gemini,32.00,1
000010,drive-download-20260408T000517Z-3-001_345175\ventiladores 3.pdf,,10,outro,,,,,,,,17.5,44,,32,635,,34,80.152.455,,AMARELO_REVISAR,faltando_obrigatorio;baixa_confianca_local,gemini,0.90,1
000011,drive-download-20260408T000529Z-3-001_185960\VENTILADOR 3 VELOCIDADES.pdf,,11,outro,,680,,,,,,16MM,46MM,2UF,33,620,4,34,435,4,AMARELO_REVISAR,faltando_obrigatorio,gemini,0.90,1
