id_local,arquivo,lote,ordem,tipo_motor,potencia_cv,rpm,tensao,polos,frequencia,carcaca,ranhuras,pacote_mm,diametro_mm,capacitor,fio_principal,espiras_principal,passo_principal,fio_auxiliar,espiras_auxiliar,passo_auxiliar,status_revisao,motivos_bloqueio,fonte_extracao,confianca,precisa_humano,categoria,notas,campos_obrig_faltando,alertas_criticos_A,audit_normalizacao_rastreavel,audit_warnings_A,audit_outlier_mecanico,audit_outlier_trace_note,diametro_mm_original_auditor,diametro_mm_normalizado,espiras_principal_original_auditor,espiras_auxiliar_original_auditor,espiras_principal_normalizada,espiras_auxiliar_normalizada,audit_espiras_trace_note,gemini_falhou,gemini_erro_resumo
000001,drive-download-20260403T124026Z-3-001_224929\605028115.pdf,,1,trifasico,"12,5",2900,220/380/440,2,50,IEC 132,36,150,111.80 FLAMADO,SEM,2 X 20 + 2 X 21 (COBRE),25:25:25,1:14:16:18,,,,VERDE_AUTO_GEMINI,,gemini,0.80,0,VERDE_COM_ALERTA,"A*:A07_potencia_decimal_sem_evidencia_frac_potencia_cv=12,5",,"A07_potencia_decimal_sem_evidencia_frac_potencia_cv=12,5",1,,,,111.80 FLAMADO,,25:25:25,,,,,0,
000002,drive-download-20260403T124026Z-3-001_224929\605028315.pdf,,2,trifasico,"12,5",3490,380/660,2,60,IEC 132,36,,"111,80",SEM,2 X 20,43:43:43,1:14:16:18,,,,VERDE_AUTO_GEMINI,,gemini,0.95,0,VERDE_COM_ALERTA,"A*:A07_potencia_decimal_sem_evidencia_frac_potencia_cv=12,5",,"A07_potencia_decimal_sem_evidencia_frac_potencia_cv=12,5",,,,,"111,80",,43:43:43,,,,,0,
000003,drive-download-20260403T124026Z-3-001_224929\605028715.pdf,,3,trifasico,"12,5",3490,220/380/440,2,60,IEC 132,36,140,"111,80",SEM,2 X 20 + 2 X 21 (COBRE) - 10.5002.010 + 10.5002.008,25:25:25,1:14:16:18,,,,VERDE_AUTO_GEMINI,,gemini,0.90,0,VERDE_COM_ALERTA,"A*:A07_potencia_decimal_sem_evidencia_frac_potencia_cv=12,5",,"A07_potencia_decimal_sem_evidencia_frac_potencia_cv=12,5",,,,,"111,80",,25:25:25,,,,,0,
000004,drive-download-20260403T124026Z-3-001_224929\605029715.pdf,,4,trifasico,"12,5",1750,220/380/440,4,60,IEC 132,48,150,"148,60 FLAMADO",SEM,6 X 22 (COBRE) - 10.5002.009,25:25,1:10:12,,,,VERDE_AUTO_GEMINI,,gemini,0.90,0,VERDE_COM_ALERTA,"A*:A07_potencia_decimal_sem_evidencia_frac_potencia_cv=12,5",,"A07_potencia_decimal_sem_evidencia_frac_potencia_cv=12,5",,,,,"148,60 FLAMADO",,25:25,,,,,0,
000005,drive-download-20260403T124026Z-3-001_224929\605041001.pdf,,5,trifasico,1/3,3583,180,4,120,IEC 63,24,40mm,"56,40",SEM,1 X 24 (COBRE) - 10.5002.002,94:94,1:6:8,,,,VERDE_AUTO_GEMINI,,gemini,0.85,0,VERDE_COM_ALERTA,A*:A08_rpm_fora_faixa_polos_4p_(1200-1900)_rpm=3583,,A08_rpm_fora_faixa_polos_4p_(1200-1900)_rpm=3583,,,,,"56,40",,94:94,,,,,0,
000006,drive-download-20260403T124026Z-3-001_224929\605042219.pdf,,6,monofasico,1/2,1444 / 1736,127/220,4,50/60,NEMA 48,32,55,"81,40",30UF 250VAC,2 X 23 (COBRE),16:38:58,1:4:6:8,2 X 24 (COBRE),24:30:50,1:4:6:8,VERDE_AUTO_GEMINI,,gemini,0.90,0,VERDE_SEGURO,,,,,,,,"81,40",,16:38:58,24:30:50,,,,0,
000007,drive-download-20260403T124026Z-3-001_224929\605042225.pdf,,7,monofasico,1/4,1690,110/220,4,60,IEC 63R,,50,"56,40",30UF 250VAC,2 X 24 (COBRE),41:48,1:4:6,1 X 24 (COBRE),14:96,1:4:6,VERDE_AUTO_GEMINI,,gemini,0.80,0,VERDE_SEGURO,,,,,,,,"56,40",,41:48,14:96,,,,0,
000008,drive-download-20260403T124026Z-3-001_224929\605042246.pdf,,8,monofasico,1/10,2851/2752-3450,110/220,2,50/60,IEC 63,24,40,"49,40",12UF 380VAC,1 X 24,83:94:94,1:8:10:12,1 X 25,90:110:110,1:8:10:12,VERDE_AUTO_GEMINI,,gemini,0.90,0,VERDE_SEGURO,,,,1,"A08_WARNING_rpm_leve_fora_faixa_mas_plausivel_2p_(2800-3700)_rpms=[2851, 2752, 3450]",,,"49,40",,83:94:94,90:110:110,,,,0,
000009,drive-download-20260403T124026Z-3-001_224929\605042249.pdf,,9,monofasico,1/2,3460,127/220,2,60,NEMA 42,,,"57,90",50UF 250VAC,2 X 24 (ALUMINIO),20:30:56:58,1:6:8:10:12,2 X 22 (ALUMINIO),16:24:36:38,1:6:8:10:12,VERDE_AUTO_GEMINI,,gemini,0.90,0,VERDE_SEGURO,,,,,,,,"57,90",,20:30:56:58,16:24:36:38,,,,0,
000010,drive-download-20260403T124026Z-3-001_224929\605042252.pdf,,10,monofasico,1/2,1697,127/220,4,60,NEMA 48,32,50,"81,40",216/259UF,2 X 19 (ALUMINIO),11:24:25,1:4:6:8,1 X 20 (ALUMINIO),12:37,1:6:8,VERDE_AUTO_GEMINI,,gemini,0.90,0,VERDE_SEGURO,,,,,,,,"81,40",,11:24:25,12:37,,,,0,
000011,drive-download-20260403T124026Z-3-001_224929\605042259.pdf,,11,monofasico,1/2,1590,110-127/220-254,4,60,NEMA 48,32,45,"81,40",45UF 250VAC,2 X 23 (COBRE) - 10.5002.001,26:50:64,1:4:6:8,1 X 21 (COBRE) - 10.5002.008,14:22:54,1:4:6:8,VERDE_AUTO_GEMINI,,gemini,0.90,0,VERDE_SEGURO,,,,,,,,"81,40",,26:50:64,14:22:54,,,,0,
000012,drive-download-20260403T124026Z-3-001_224929\605042264.pdf,,12,monofasico,1,1740,110-127/220-254,4,60,NEMA 56,32,75,97.40,CP 378/454UF 110VAC C/ TERMINAL,2 X 20 (COBRE),16:28:33,1:4:6:8,1 X 19 (COBRE),8:10:34,1:4:6:8,VERDE_AUTO_GEMINI,,gemini,0.90,0,VERDE_SEGURO,,,,,,,,97.40,,16:28:33,8:10:34,,,,0,
000013,drive-download-20260403T124026Z-3-001_224929\605042267.pdf,,13,monofasico,1/4,1700,220,4,60,IEC 63R,,45,"56,40",15UF 380VAC,1 X 25,86:118,1:4:6,1 X 25,31:120,1:4:6,VERDE_AUTO_GEMINI,,gemini,0.80,0,VERDE_SEGURO,,,,,,,,"56,40",,86:118,31:120,,,,0,
000014,drive-download-20260403T124026Z-3-001_224929\605042273.pdf,,14,monofasico,1/2,1720,110-127/220-254,4,60,NEMA 48,32,50,"81,40",10.5038.006 MINI CP 340/408UF 110VAC C/RESIST. 1L,1 X 19 (COBRE) - 10.5002.011,28:42:52,1:4:6:8,2 X 23 (ALUMINIO) - 10.5025.005,8:10:40,1:4:6:8,VERDE_AUTO_GEMINI,,gemini,0.90,0,VERDE_SEGURO,,,,,,,,"81,40",,28:42:52,8:10:40,,,,0,
