id_local,arquivo,lote,ordem,tipo_motor,potencia_cv,rpm,tensao,polos,frequencia,carcaca,ranhuras,pacote_mm,diametro_mm,capacitor,fio_principal,espiras_principal,passo_principal,fio_auxiliar,espiras_auxiliar,passo_auxiliar,status_revisao,motivos_bloqueio,fonte_extracao,confianca,precisa_humano,categoria,notas,campos_obrig_faltando,alertas_criticos_A,audit_normalizacao_rastreavel,audit_warnings_A,audit_outlier_mecanico,audit_outlier_trace_note,diametro_mm_original_auditor,diametro_mm_normalizado,espiras_principal_original_auditor,espiras_auxiliar_original_auditor,espiras_principal_normalizada,espiras_auxiliar_normalizada,audit_espiras_trace_note,gemini_falhou,gemini_erro_resumo
000001,"drive-download-20260403T124026Z-3-001_224929\1,8cv 4e8p nema42 2 50,60hz 30x68 605012085.pdf",,1,monofasico,1/8,790 / 1700,220,4 e 8,50/60,NEMA 42,24,,"68,00",12UF 250VAC,1 X 29 (COBRE),380,1:4,,,,AMARELO_REVISAR,faltando_obrigatorio,gemini,0.90,1,AMARELO_REVISAR,faltando_obrigatorio,"fio_auxiliar,espiras_auxiliar,passo_auxiliar",A02_mono_sem_fio_espiras_passo_auxiliar;A08_rpm_fora_faixa_polos_4p_(1200-1900)_rpm=790,,,,,"68,00",,380,,,,,0,
000002,"drive-download-20260403T124026Z-3-001_224929\1.5cv 2,4p iec63r 2 260,150hz 70x56.4 605012237.pdf",,2,trifasico,"1,5",14000 / 4200,220,2/4,260/150,IEC 63R,24,70mm,"56,40",1,1 X 23 (COBRE) - 10.5002.001,62:62,1:6:8,,,,VERDE_AUTO_GEMINI,,gemini,0.80,0,VERDE_COM_ALERTA,A*:A08_rpm_absoluto_absurdo_rpm=14000,,A08_rpm_absoluto_absurdo_rpm=14000,,,,,"56,40",,62:62,,,,,0,
000003,drive-download-20260403T124026Z-3-001_224929\3cv 6p iec100 23 60hz 130x97.3 605072009.pdf,,3,trifasico,3,1150,220/380,6,60,IEC 100,36,,"97,30 FLAMADO",SEM,1 X 21 + 2 X 22 (COBRE) - 10.5002.008 + 10.5002.009,33,1:6,,,,VERDE_AUTO_GEMINI,,gemini,0.90,0,VERDE_SEGURO,,,,,,,,"97,30 FLAMADO",,33,,,,,0,
000004,drive-download-20260403T124026Z-3-001_224929\3cv 6p iec132 234 60hz 148.9x130 606506412.pdf,,4,trifasico,3,1175,220/380/440,6,60,IEC 132,36,130,"148,90",SEM,1 X 20 + 1 X 21 (COBRE) - 10.5002.010 + 10.5002.008,74,1:6,,,,VERDE_AUTO_GEMINI,,gemini,0.90,0,VERDE_SEGURO,,,,,,,,"148,90",,74,,,,,0,
000005,drive-download-20260403T124026Z-3-001_224929\4cv 2p iec100 234 60hz 89.1x110 606502413.pdf,,5,trifasico,4,3500,220/380/440,2,60,IEC 100,36,110,"89,10",SEM,1 X 21 + 1 X 22 (COBRE) - 10.5002.008 + 10.5002.009,46:46:46,1:14:16:18,,,,VERDE_AUTO_GEMINI,,gemini,0.90,0,VERDE_SEGURO,,,,,,,,"89,10",,46:46:46,,,,,0,
000006,drive-download-20260403T124026Z-3-001_224929\4cv 2p iec90 23 60hz 120x74.2 605015238.pdf,,6,trifasico,4,3440,220/380,2,60,,,120,74.20,SEM,2 X 22 + 2 X 23 (COBRE) - 10.5002.009 + 10.5002.001,31:31,1:10:12,*.*.*,*.*.*,*.*.*,VERDE_AUTO_GEMINI,,gemini,0.90,0,VERDE_SEGURO,,,,,,,,74.20,,31:31,*.*.*,,,,0,
000007,drive-download-20260403T124026Z-3-001_224929\4cv 2p iec90 23 60hz 130x74.2 605038014.pdf,,7,trifasico,4,3475,220/380,2,60,IEC 90,24,130,"74,20",1,4 X 22 (COBRE) - 10.5002.009,28:28,1:10:12,,,,VERDE_AUTO_GEMINI,,gemini,0.80,0,VERDE_SEGURO,,,,,,,,"74,20",,28:28,,,,,0,
000008,drive-download-20260403T124026Z-3-001_224929\4cv 2p iec90 23 60hz 74.2x115 605028510.pdf,,8,trifasico,4,3470,220/380,2,60,IEC 90,24,115,"74,20",1,3 X 21,29:29,1:10:12,,,,VERDE_AUTO_GEMINI,,gemini,0.90,0,VERDE_SEGURO,,,,,,,,"74,20",,29:29,,,,,0,
000009,drive-download-20260403T124026Z-3-001_224929\4cv 2p iec90 234 60hz 74.2x115 605028710.pdf,,9,trifasico,4,3480,220/380/440,2,60,IEC 90,24,,"74,20",SEM,1 X 22 + 1 X 23 (COBRE) - 10.5002.009 + 10.5002.001,58:58,1:10:12,,,,VERDE_AUTO_GEMINI,,gemini,0.90,0,VERDE_SEGURO,,,,,,,,"74,20",,58:58,,,,,0,
000010,drive-download-20260403T124026Z-3-001_224929\4cv 2p iec90 234 60hz 74.2x120 606502412.pdf,,10,trifasico,4,3440,220/380/440,2,60,IEC 90,24,120,"74,20",SEM,1 X 22 + 1 X 23 (COBRE) - 10.5002.009 + 10.5002.001,62:62,1:10:12,,,,VERDE_AUTO_GEMINI,,gemini,0.85,0,VERDE_SEGURO,,,,,,,,"74,20",,62:62,,,,,0,
