id_local,arquivo,lote,ordem,tipo_motor,potencia_cv,rpm,tensao,polos,frequencia,carcaca,ranhuras,pacote_mm,diametro_mm,capacitor,fio_principal,espiras_principal,passo_principal,fio_auxiliar,espiras_auxiliar,passo_auxiliar,status_revisao,motivos_bloqueio,fonte_extracao,confianca,precisa_humano,potencia_cv_original_auditor,potencia_cv_normalizada,audit_normalizacao_rastreavel,audit_power_trace_note,audit_tipo_motor_sugerido,audit_type_trace_note,audit_rpm_original,audit_rpm_normalizado,audit_rpm_trace_note,audit_outlier_mecanico,audit_outlier_trace_note,diametro_mm_original_auditor,diametro_mm_normalizado,espiras_principal_original_auditor,espiras_auxiliar_original_auditor,espiras_principal_normalizada,espiras_auxiliar_normalizada,audit_espiras_trace_note,audit_trace_note,alertas,alertas_warnings,alertas_criticos,n_alertas,n_alertas_blocking,n_alertas_warnings,n_alertas_criticos
000001,drive-download-20260408T000529Z-3-001_185960\VENTILADOR 3 VELOCIDADES.pdf,,1,monofasico,,,,4,,,,16MM,46MM,2UF,32,620,4,34,435,4,AMARELO_REVISAR,faltando_obrigatorio,gemini,0.90,1,,,,,,,,,,,,46MM,,620,435,,,,,A09_tensao_vazia;S_pipeline_AMARELO_REVISAR,,A09_tensao_vazia,2,1,0,1
000002,drive-download-20260408T000511Z-3-001_428675\esquema vent. de ar.pdf,,2,monofasico,,,,8,,,24,,,,,08:20:36,1:3:5,,,1:4,AMARELO_REVISAR,faltando_obrigatorio,gemini,0.90,1,,,1,,,,,,,,,,,08:20:36,,8:20:36,,tokens_zeros_espiadas_substring_blob,,A09_tensao_vazia;A01_mono_sem_fio_espiras_passo_principal;A02_mono_sem_fio_espiras_passo_auxiliar;A06_WARNING_espiras_normalizada_rastreavel;S_pipeline_AMARELO_REVISAR,A06_WARNING_espiras_normalizada_rastreavel,A09_tensao_vazia;A01_mono_sem_fio_espiras_passo_principal;A02_mono_sem_fio_espiras_passo_auxiliar,5,3,1,3
000003,drive-download-20260408T000529Z-3-001_185960\1d217467-02db-4a7f-8017-ea2f9ac0a715.jpg,,3,monofasico,,,220,,60,,,15,46,Sim,35 AWG,950,4,36 AWG,"V1-250, V2-230, V3-460",4,AMARELO_REVISAR,baixa_confianca_local,gemini,0.70,1,,,,,,,,,,,,46,,950,"V1-250, V2-230, V3-460",,,,,S_pipeline_AMARELO_REVISAR,,,1,0,0,0
000004,drive-download-20260408T000529Z-3-001_185960\1d9b3430-0b16-4701-b724-661974ff8b49.jpg,,4,outro,,,220,,60,,,,,PRESENTE,33 AWG,700,4,34 AWG,160:160:320,4,AMARELO_REVISAR,baixa_confianca_local,gemini,0.70,1,,,1,,monofasico,auxiliar_e/ou_capacitor_preenchidos,,,,,,,,700,160:160:320,,,,,A10_WARNING_tipo_inferido_com_evidencia=monofasico;auxiliar_e/ou_capacitor_preenchidos;S_pipeline_AMARELO_REVISAR,A10_WARNING_tipo_inferido_com_evidencia=monofasico;auxiliar_e/ou_capacitor_preenchidos,,2,0,1,0
000005,drive-download-20260408T000529Z-3-001_185960\324e6cbc-2bab-43ed-9303-2d560b1da7ec.jpg,,5,monofasico,,,,,,,,,,,,,,,,,AMARELO_REVISAR,faltando_obrigatorio;baixa_confianca_local,gemini,0.80,1,,,,,,,,,,,,,,,,,,,,A09_tensao_vazia;A01_mono_sem_fio_espiras_passo_principal;A02_mono_sem_fio_espiras_passo_auxiliar;S_pipeline_AMARELO_REVISAR,,A09_tensao_vazia;A01_mono_sem_fio_espiras_passo_principal;A02_mono_sem_fio_espiras_passo_auxiliar,4,3,0,3
000006,drive-download-20260408T000529Z-3-001_185960\8bc49b76-90d1-4f38-bd2f-86cd93ad3689.jpg,,6,outro,,,127,4,60,,8,25,45,,30 AWG COBRE,445,,31 AWG COBRE,535,,AMARELO_REVISAR,baixa_confianca_local,gemini,0.70,1,,,,,,,,,,,,45,,445,535,,,,,A10_tipo_vazio_ou_desconhecido;S_pipeline_AMARELO_REVISAR,,A10_tipo_vazio_ou_desconhecido,2,1,0,1
000007,drive-download-20260408T000529Z-3-001_185960\bda2a6e0-62ba-4738-8a58-964852f4ad8d.jpg,,7,outro,,,220,,,,,30,94,,1 X 29 AWG ALUMÍNIO,390,1-4,1 X 30 COBRE,390,,AMARELO_REVISAR,baixa_confianca_local,gemini,0.70,1,,,,,,,,,,,,94,,390,390,,,,,A10_tipo_vazio_ou_desconhecido;S_pipeline_AMARELO_REVISAR,,A10_tipo_vazio_ou_desconhecido,2,1,0,1
000008,drive-download-20260408T000529Z-3-001_185960\dc81f9cf-0541-4d2d-87c5-686e9c194c01.jpg,,8,outro,,,220 VOLTS,,,,24 CANAIS,15 mm,70 mm,,AWG 30,330,6,AWG 30,170,4,AMARELO_REVISAR,baixa_confianca_local,gemini,0.70,1,,,1,,monofasico,auxiliar_e/ou_capacitor_preenchidos,,,,,,70 mm,,330,170,,,,,A10_WARNING_tipo_inferido_com_evidencia=monofasico;auxiliar_e/ou_capacitor_preenchidos;S_pipeline_AMARELO_REVISAR,A10_WARNING_tipo_inferido_com_evidencia=monofasico;auxiliar_e/ou_capacitor_preenchidos,,2,0,1,0
000009,drive-download-20260408T000529Z-3-001_185960\f837d1fb-1d86-4e42-aa6a-9eaa9c696086.jpg,,9,outro,,,,,,,,20,45,,33,700,,34,640,,AMARELO_REVISAR,faltando_obrigatorio;baixa_confianca_local,gemini,0.70,1,,,,,,,,,,,,45,,700,640,,,,,A10_tipo_vazio_ou_desconhecido;A09_tensao_vazia;S_pipeline_AMARELO_REVISAR,,A10_tipo_vazio_ou_desconhecido;A09_tensao_vazia,3,2,0,2
000010,drive-download-20260408T000605Z-3-001_290649\arno.jpg,,10,outro,,3500,220/380,10-12,,,,,,,23,94,,,,,AMARELO_REVISAR,baixa_confianca_local,gemini,0.60,1,,,,,,,3500,,,,,,,94,,,,,,A10_tipo_vazio_ou_desconhecido;S_pipeline_AMARELO_REVISAR,,A10_tipo_vazio_ou_desconhecido,2,1,0,1
