id_local,arquivo,lote,ordem,tipo_motor,potencia_cv,rpm,tensao,polos,frequencia,carcaca,ranhuras,pacote_mm,diametro_mm,capacitor,fio_principal,espiras_principal,passo_principal,fio_auxiliar,espiras_auxiliar,passo_auxiliar,status_revisao,motivos_bloqueio,fonte_extracao,confianca,precisa_humano
000001,drive-download-20260403T124026Z-3-001_224929\605028011.pdf,,1,trifasico,5,3500,220/380,2,60,IEC 100,36,,130,SEM,3 X 23 (COBRE) - 10.5002.001,37:37:37,1:14:16:18,,,,VERDE_AUTO_GEMINI,,gemini,0.90,0
000002,drive-download-20260403T124026Z-3-001_224929\605028105.pdf,,2,trifasico,3/4,2780,220/380,2,50,NEMA 42,24,70,"57,90",SEM,1 X 23,86:86,1:10:12,,,,VERDE_AUTO_GEMINI,,gemini,0.90,0
000003,drive-download-20260403T124026Z-3-001_224929\605028115.pdf,,3,trifasico,"12,5",2900,220/380/440,2,50,IEC 132,,150,111.80,SEM,2 X 20 + 2 X 21 (COBRE) - 10.5002.010 + 10.5002.008,25:25:25,1:14:16:18,,,,VERDE_AUTO_GEMINI,,gemini,0.90,0
000004,drive-download-20260403T124026Z-3-001_224929\605028315.pdf,,4,trifasico,"12,5",3490,380/660,2,60,IEC 132,36,,"111,80",SEM,2 X 20 (COBRE) - 10.5002.010,43:43:43,1:14:16:18,,,,VERDE_AUTO_GEMINI,,gemini,0.90,0
000005,drive-download-20260403T124026Z-3-001_224929\605028711.pdf,,5,trifasico,5,3500,220/380/440,2,60,IEC 100,36,130,,SEM,3 X 23 (COBRE) - 10.5002.001,37:37:37,1:14:16:18,,,,VERDE_AUTO_GEMINI,,gemini,0.90,0
000006,drive-download-20260403T124026Z-3-001_224929\605028714.pdf,,6,trifasico,10,3500,220/380/440,2,60,IEC 132,36,130,"111,80",SEM,4 X 21 (COBRE) - 10.5002.008,28:28:28,1:14:16:18,,,,VERDE_AUTO_GEMINI,,gemini,0.90,0
000007,drive-download-20260403T124026Z-3-001_224929\605028715.pdf,,7,trifasico,"12,5",3490,220/380/440,2,60,IEC 132,36,140,"111,80",SEM,2 X 20 + 2 X 21 (COBRE) - 10.5002.010 + 10.5002.008,25:25:25,1:14:16:18,,,,VERDE_AUTO_GEMINI,,gemini,0.85,0
000008,drive-download-20260403T124026Z-3-001_224929\605029010.pdf,,8,trifasico,4,1740,220/380,4,60,IEC 100,,100,"97,20",SEM,1 X 20 (COBRE) - 10.5002.010,60/60/60,1:8:10 / 1:8,,,,VERDE_AUTO_GEMINI,,gemini,0.90,0
000009,drive-download-20260403T124026Z-3-001_224929\605029715.pdf,,9,trifasico,"12,5",1750,220/380/440,4,60,IEC 132,48,150,"148,60",SEM,6 X 22,25:25,1:10:12,,,,VERDE_AUTO_GEMINI,,gemini,0.80,0
000010,drive-download-20260403T124026Z-3-001_224929\605030003.pdf,,10,trifasico,1/3,1690,220/380,4,60,IEC 63R,24,55mm,"56,40",SEM,1 X 26,150:150,1:6:8,,,,VERDE_AUTO_GEMINI,,gemini,0.90,0
000011,drive-download-20260403T124026Z-3-001_224929\605034002.pdf,,11,trifasico,1/4,1695,220/380,4,60,,24,45,"56,40",SEM,1 X 27 (COBRE) - 10.5002.005,185:185,1:6:8,,,,VERDE_AUTO_GEMINI,,gemini,0.80,0
000012,drive-download-20260403T124026Z-3-001_224929\605034007.pdf,,12,trifasico,"1,5",1730,220/380,4,60,,36,95,,SEM,2 X 24 AWG (COBRE),45,1:8:10:12,,,,VERDE_AUTO_GEMINI,,gemini,0.90,0
000013,drive-download-20260403T124026Z-3-001_224929\605034008.pdf,,13,trifasico,2,1740,220/380,4,60,,36,100,"89,40",SEM,1 X 22 + 1 X 23 (COBRE) - 10.5002.009 + 10.5002.001,38:38 / 38,1:8:10 / 1:8,,,,VERDE_AUTO_GEMINI,,gemini,0.90,0
000014,drive-download-20260403T124026Z-3-001_224929\605038010.pdf,,14,trifasico,1,3415,220/380,2,60,IEC 80,24,55,"61,40",SEM,1 X 21,82:82,1:10:12,,,,VERDE_AUTO_GEMINI,,gemini,0.85,0
