id_local,arquivo,lote,ordem,tipo_motor,potencia_cv,rpm,tensao,polos,frequencia,carcaca,ranhuras,pacote_mm,diametro_mm,capacitor,fio_principal,espiras_principal,passo_principal,fio_auxiliar,espiras_auxiliar,passo_auxiliar,status_revisao,motivos_bloqueio,fonte_extracao,confianca,precisa_humano,potencia_cv_original_auditor,potencia_cv_normalizada,audit_normalizacao_rastreavel,audit_power_trace_note,audit_tipo_motor_sugerido,audit_type_trace_note,audit_rpm_original,audit_rpm_normalizado,audit_rpm_trace_note,audit_outlier_mecanico,audit_outlier_trace_note,diametro_mm_original_auditor,diametro_mm_normalizado,espiras_principal_original_auditor,espiras_auxiliar_original_auditor,espiras_principal_normalizada,espiras_auxiliar_normalizada,audit_espiras_trace_note,audit_trace_note,alertas,alertas_warnings,alertas_criticos,n_alertas,n_alertas_blocking,n_alertas_warnings,n_alertas_criticos
000001,"drive-download-20260403T124026Z-3-001_224929\1,8cv 4e8p nema42 2 50,60hz 30x68 605012085.pdf",,1,monofasico,1/8,790 / 1700,220,4 e 8,50/60,NEMA 42,24,,"68,00",12UF 250VAC,1 X 29,380,1:4,,,,AMARELO_REVISAR,faltando_obrigatorio,gemini,0.90,1,1/8,,,,,,790 / 1700,,"fora_sem_evid; rpms=[790, 1700]; freq=50/60",,,"68,00",,380,,,,,,A02_mono_sem_fio_espiras_passo_auxiliar;A08_rpm_fora_faixa_polos_4p_(1200-1900)_rpm=790;S_pipeline_AMARELO_REVISAR,,A02_mono_sem_fio_espiras_passo_auxiliar;A08_rpm_fora_faixa_polos_4p_(1200-1900)_rpm=790,3,2,0,2
000002,"drive-download-20260403T124026Z-3-001_224929\1.5cv 2,4p iec63r 2 260,150hz 70x56.4 605012237.pdf",,2,trifasico,"1,5",14000 / 4200,220,2/4,260/150,IEC 63R,24,70mm,"56,40",1,1 X 23 (COBRE) - 10.5002.001,62:62,1:6:8,,,,VERDE_AUTO_GEMINI,,gemini,0.80,0,"1,5",,,,,,14000 / 4200,,"absurdo_gt5000; rpms=[14000, 4200]",,,"56,40",,62:62,,,,,,A08_rpm_absoluto_absurdo_rpm=14000,,A08_rpm_absoluto_absurdo_rpm=14000,1,1,0,1
000003,drive-download-20260403T124026Z-3-001_224929\605012335.pdf,,3,trifasico,1,3410,220/380/440,2,60,NEMA 42,24,70,"57,90",SEM,1 X 25,124:124,1:10:12,,,,AMARELO_REVISAR,,gemini,0.72,1,1,,,,,,3410,,,,,"57,90",,124:124,,,,,,S_pipeline_AMARELO_REVISAR,,,1,0,0,0
000004,drive-download-20260403T124026Z-3-001_224929\605013168.pdf,,4,trifasico,"1,5",1690,220/380,4,60,NEMA 48,36,110,"81,40",SEM,1 X 20 (COBRE),42:42:42,1:8:10:12,,,,VERDE_AUTO_GEMINI,,gemini,0.90,0,"1,5",,,,,,1690,,,,,"81,40",,42:42:42,,,,,,,,,0,0,0,0
000005,drive-download-20260403T124026Z-3-001_224929\605015131.pdf,,5,trifasico,1,3500,220/380,2,60,IEC 90,24,,"74,40",SEM,2 X 23 (ALUMINIO),72,1:10:12,,,,VERDE_AUTO_GEMINI,,gemini,0.80,0,1,,,,,,3500,,,,,"74,40",,72,,,,,,,,,0,0,0,0
000006,drive-download-20260403T124026Z-3-001_224929\605016001.pdf,,6,trifasico,1/8,2330,18,4,90,IEC 63R,24,,"56,60",SEM,2 X 24 + 2 X 25 (COBRE) - 10.5002.002 + 10.5002.003,24:24,1:6:8,,,,VERDE_AUTO_GEMINI,,gemini,0.90,0,1/8,,,,,,2330,,nenhum_in_band; rpms=[2330]; freq=90,,,"56,60",,24:24,,,,,,A08_rpm_fora_faixa_polos_4p_(1200-1900)_rpm=2330,,A08_rpm_fora_faixa_polos_4p_(1200-1900)_rpm=2330,1,1,0,1
000007,drive-download-20260403T124026Z-3-001_224929\605016002.pdf,,7,trifasico,1/10,3803,18,4,150,,24,,"56,50",SEM,6 X 23 (COBRE),12:12,1:6.:8,,,,VERDE_AUTO_GEMINI,,gemini,0.90,0,1/10,,,,,,3803,,nenhum_in_band; rpms=[3803]; freq=150,,,"56,50",,12:12,,,,,,A08_rpm_fora_faixa_polos_4p_(1200-1900)_rpm=3803,,A08_rpm_fora_faixa_polos_4p_(1200-1900)_rpm=3803,1,1,0,1
000008,drive-download-20260403T124026Z-3-001_224929\605016087.pdf,,8,monofasico,1/2,2595,220,2,50,IEC 63R,24,45,"49,30",15UF/380VAC,1 X 25 (COBRE) - 10.5002.003,94:96:98,1:8:10:12,1 X 25 (COBRE) - 10.5002.003,94:96:98,1:8:10:12,VERDE_AUTO_GEMINI,,gemini,0.90,0,1/2,,1,,,,2595,,faixa_rpm_2p_monofreq_50Hz=(2500-3200)_ref_padrao_60Hz=(2800-3700),,,"49,30",,94:96:98,94:96:98,,,,faixa_rpm_2p_monofreq_50Hz=(2500-3200)_ref_padrao_60Hz=(2800-3700),,,,0,0,0,0
000009,drive-download-20260403T124026Z-3-001_224929\605016201.pdf,,9,trifasico,1,3400,220/380,2,60,NEMA 42,24,75,"57,70",SEM,1 X 21 (ALUMINIO) - 10.5025.004,60:60,1:10:12,,,,VERDE_AUTO_GEMINI,,gemini,0.90,0,1,,,,,,3400,,,,,"57,70",,60:60,,,,,,,,,0,0,0,0
000010,drive-download-20260403T124026Z-3-001_224929\605017014.pdf,,10,monofasico,1,3510,110-127/220-254,2,60,NEMA 56,24,55,"71,70",540/648UF,2 X 20 (COBRE),14:34:37:40,1:6:8:10:12,2 X 19 (ALUMINIO),16:25:26,1:8:10:12,VERDE_AUTO_GEMINI,,gemini,0.80,0,1,,,,,,3510,,,,,"71,70",,14:34:37:40,16:25:26,,,,,,,,0,0,0,0
