id_local,arquivo,lote,ordem,tipo_motor,potencia_cv,rpm,tensao,polos,frequencia,carcaca,ranhuras,pacote_mm,diametro_mm,capacitor,fio_principal,espiras_principal,passo_principal,fio_auxiliar,espiras_auxiliar,passo_auxiliar,status_revisao,motivos_bloqueio,fonte_extracao,confianca,precisa_humano,categoria,notas,campos_obrig_faltando,alertas_criticos_A,audit_normalizacao_rastreavel,audit_warnings_A,audit_outlier_mecanico,audit_outlier_trace_note,diametro_mm_original_auditor,diametro_mm_normalizado,espiras_principal_original_auditor,espiras_auxiliar_original_auditor,espiras_principal_normalizada,espiras_auxiliar_normalizada,audit_espiras_trace_note,gemini_falhou,gemini_erro_resumo
000001,drive-download-20260403T124026Z-3-001_224929\605046028.pdf,,1,monofasico,2,1720,110-127/220-254,4,60,NEMA 56,32,75,"97,40",CAPACITOR PERM. 50UF 250VAC UL C/ TERMINAL (LIGADO NOS CABOS BRANCOS); CAPACITOR ELETR. 430/516UF 110VAC C/ TERMINAL 1L (LIGADO NOS CABOS PRETOS),1 X 20 (COBRE) - 10.5002.010,20:44:66,1:4:6:8,1 X 18 (COBRE) - 10.5002.012,12:14:30,1:4:6:8,AMARELO_REVISAR,,gemini,0.72,1,AMARELO_REVISAR,,,,,,,,"97,40",,20:44:66,12:14:30,,,,0,
000002,drive-download-20260403T124026Z-3-001_224929\605046031.pdf,,2,monofasico,"1,5",1720,110-127/220-254,4,60,NEMA 56,32,60mm,"97,40",VER EM OBSERVAÇÕES,1 X 21 (COBRE) - 10.5002.008,28:48:80,1:4:6:8,2 X 21 (COBRE) - 10.5002.008,14:14:32,1:4:6:8,AMARELO_REVISAR,,gemini,0.72,1,AMARELO_REVISAR,,,,,,,,"97,40",,28:48:80,14:14:32,,,,0,
000003,drive-download-20260403T124026Z-3-001_224929\605046034.pdf,,3,monofasico,2,1425,110/220,4,50,NEMA 56,32,,"97,40",30,1 X 19 + 1 X 20 (COBRE) - 10.5002.011 + 10.5002.010,8:20:30,1:4:6:8,1 X 18 (COBRE) - 10.5002.012,12:16:30,1:4:6:8,VERDE_AUTO_GEMINI,,gemini,0.90,0,VERDE_SEGURO,,,,,,,,"97,40",,8:20:30,12:16:30,,,,0,
000004,drive-download-20260403T124026Z-3-001_224929\605050002.pdf,,4,trifasico,1/4,1695,220/380,4,60,IEC 63R,,45mm,"56,40 FLAMADO",SEM,1 X 27 (COBRE) - 10.5002.005,185:185,1:6:8,,,,VERDE_AUTO_GEMINI,,gemini,0.90,0,VERDE_SEGURO,,,,,,,,"56,40 FLAMADO",,185:185,,,,,0,
000005,drive-download-20260403T124026Z-3-001_224929\605050003.pdf,,5,trifasico,1/3,1690,220/380,4,60,,24,55,"56,40",SEM,1 X 26,150-150,1:6:8,,,,VERDE_AUTO_GEMINI,,gemini,1.00,0,VERDE_SEGURO,,,,,,,,"56,40",,150-150,,,,,0,
000006,drive-download-20260403T124026Z-3-001_224929\605050004.pdf,,6,trifasico,1/2,1680,220/380,4,60,,,70mm,"68,00",SEM,1 X 24 (COBRE) - 10.5002.002,120:120,1:6:8,,,,VERDE_AUTO_GEMINI,,gemini,0.90,0,VERDE_SEGURO,,,,,,,,"68,00",,120:120,,,,,0,
000007,drive-download-20260403T124026Z-3-001_224929\605051007.pdf,,7,trifasico,"1,5",3420,220/380,2,60,,,,"61,40 FLAMADO",SEM,2 X 23 (COBRE) - 10.5002.001,60:60,1:10:12,*.*.*,*.*.*,*.*.*,VERDE_AUTO_GEMINI,,gemini,1.00,0,VERDE_SEGURO,,,,,,,,"61,40 FLAMADO",,60:60,*.*.*,,,,0,
000008,drive-download-20260403T124026Z-3-001_224929\605051008.pdf,,8,trifasico,2,3380,220/380,2,60,,,,"61,40",SEM,1 X 22 + 1 X 23 (COBRE) - 10.5002.009 + 10.5002.001,52:52,1:10:12,,,,VERDE_AUTO_GEMINI,,gemini,1.00,0,VERDE_SEGURO,,,,,,,,"61,40",,52:52,,,,,0,
000009,drive-download-20260403T124026Z-3-001_224929\605051009.pdf,,9,trifasico,3,3470,220/380,2,60,IEC 90,,100mm,"74,20",SEM,3 X 22 (COBRE) - 10.5002.009,36:36,1:10:12,,,,VERDE_AUTO_GEMINI,,gemini,0.80,0,VERDE_SEGURO,,,,,,,,"74,20",,36:36,,,,,0,
000010,drive-download-20260403T124026Z-3-001_224929\605052001.pdf,,10,trifasico,1/4,3375,220/380,2,60,,24,30mm,49.40,SEM,1 X 28 (COBRE) - 10.5002.006,176:176,1:10:12,,,,VERDE_AUTO_GEMINI,,gemini,1.00,0,VERDE_SEGURO,,,,,,,,49.40,,176:176,,,,,0,
000011,drive-download-20260403T124026Z-3-001_224929\605052002.pdf,,11,trifasico,1/3,3380,220/380,2,60,IEC 63R,24,40mm,"49,40",SEM,1 X 27 (COBRE) - 10.5002.005,140:140,1:10:12,,,,VERDE_AUTO_GEMINI,,gemini,0.85,0,VERDE_SEGURO,,,,,,,,"49,40",,140:140,,,,,0,
000012,drive-download-20260403T124026Z-3-001_224929\605052005.pdf,,12,trifasico,3/4,3340,220/380,2,60,,24,50,"57,90",SEM,1 X 23 (COBRE) - 10.5002.001,86:86,1:10:12,,,,AMARELO_REVISAR,,gemini,0.72,1,AMARELO_REVISAR,,,,,,,,"57,90",,86:86,,,,,0,
000013,drive-download-20260403T124026Z-3-001_224929\605053002.pdf,,13,trifasico,1/4,1695,220/380,4,60,IEC 63R,24,45,"56,40",SEM,1 X 27 (COBRE),185:185,1:6:8,,,,VERDE_AUTO_GEMINI,,gemini,1.00,0,VERDE_SEGURO,,,,,,,,"56,40",,185:185,,,,,0,
000014,drive-download-20260403T124026Z-3-001_224929\605053003.pdf,,14,trifasico,1/3,1690,220/380,4,60,IEC 63R,,55,"56,40",SEM,1 X 26,150:150,1:6:8,,,,VERDE_AUTO_GEMINI,,gemini,0.95,0,VERDE_SEGURO,,,,,,,,"56,40",,150:150,,,,,0,
