id_local,arquivo,lote,ordem,tipo_motor,potencia_cv,rpm,tensao,polos,frequencia,carcaca,ranhuras,pacote_mm,diametro_mm,capacitor,fio_principal,espiras_principal,passo_principal,fio_auxiliar,espiras_auxiliar,passo_auxiliar,status_revisao,motivos_bloqueio,fonte_extracao,confianca,precisa_humano,potencia_cv_original_auditor,potencia_cv_normalizada,audit_normalizacao_rastreavel,audit_power_trace_note,audit_tipo_motor_sugerido,audit_type_trace_note,audit_rpm_original,audit_rpm_normalizado,audit_rpm_trace_note,audit_outlier_mecanico,audit_outlier_trace_note,diametro_mm_original_auditor,diametro_mm_normalizado,espiras_principal_original_auditor,espiras_auxiliar_original_auditor,espiras_principal_normalizada,espiras_auxiliar_normalizada,audit_espiras_trace_note,audit_trace_note,alertas,alertas_warnings,alertas_criticos,n_alertas,n_alertas_blocking,n_alertas_warnings,n_alertas_criticos
000001,"drive-download-20260403T124026Z-3-001_224929\1,8cv 4e8p nema42 2 50,60hz 30x68 605012085.pdf",,1,monofasico,1/8,790 / 1700,220,4 e 8,50/60,NEMA 42,24,,"68,00",12UF 250VAC,1 X 29 (COBRE),380,1:4,,,,AMARELO_REVISAR,faltando_obrigatorio,gemini,0.90,1,1/8,,,,,,790 / 1700,,"fora_sem_evid; rpms=[790, 1700]; freq=50/60",,,"68,00",,380,,,,,,A02_mono_sem_fio_espiras_passo_auxiliar;A08_rpm_fora_faixa_polos_4p_(1200-1900)_rpm=790;S_pipeline_AMARELO_REVISAR,,A02_mono_sem_fio_espiras_passo_auxiliar;A08_rpm_fora_faixa_polos_4p_(1200-1900)_rpm=790,3,2,0,2
000002,"drive-download-20260403T124026Z-3-001_224929\1.5cv 2,4p iec63r 2 260,150hz 70x56.4 605012237.pdf",,2,trifasico,"1,5",14000 / 4200,220,2/4,260/150,IEC 63R,24,70mm,"56,40",1,1 X 23 (COBRE) - 10.5002.001,62:62,1:6:8,,,,VERDE_AUTO_GEMINI,,gemini,0.80,0,"1,5",,,,,,14000 / 4200,,"absurdo_gt5000; rpms=[14000, 4200]",,,"56,40",,62:62,,,,,,A08_rpm_absoluto_absurdo_rpm=14000,,A08_rpm_absoluto_absurdo_rpm=14000,1,1,0,1
000003,drive-download-20260403T124026Z-3-001_224929\605012335.pdf,,3,trifasico,1,3410,220/380/440,2,60,NEMA 42,24,70,"57,90",SEM,1 X 25,124:124,1:10:12,,,,AMARELO_REVISAR,,gemini,0.72,1,1,,,,,,3410,,,,,"57,90",,124:124,,,,,,S_pipeline_AMARELO_REVISAR,,,1,0,0,0
000004,drive-download-20260403T124026Z-3-001_224929\605013063.pdf,,4,trifasico,1/2,2820,220/380,2,50,IEC 63R,24,50,"49,40",SEM,1 X 27 (COBRE),130:130,1:10:12,,,,VERDE_AUTO_GEMINI,,gemini,0.80,0,1/2,,1,,,,2820,,faixa_rpm_2p_monofreq_50Hz=(2500-3200)_ref_padrao_60Hz=(2800-3700),,,"49,40",,130:130,,,,,faixa_rpm_2p_monofreq_50Hz=(2500-3200)_ref_padrao_60Hz=(2800-3700),,,,0,0,0,0
000005,drive-download-20260403T124026Z-3-001_224929\605013074.pdf,,5,monofasico,1/2,1675,127/220,4,60,NEMA 42,,,"68,00",30UF 250VAC,2 X 22,22:40,1:4:6,1 X 22,36:80,1:4:6,VERDE_AUTO_GEMINI,,gemini,0.90,0,1/2,,,,,,1675,,,,,"68,00",,22:40,36:80,,,,,,,,0,0,0,0
000006,drive-download-20260403T124026Z-3-001_224929\605013081.pdf,,6,monofasico,1/8,1600,220,4,60,NEMA 42,24,35mm,"68,00",8UF 440VAC,1 X 25 (COBRE),110:160,1:4:6,1 X 25 (COBRE),50:160,1:4:6,VERDE_AUTO_GEMINI,,gemini,0.90,0,1/8,,,,,,1600,,,,,"68,00",,110:160,50:160,,,,,,,,0,0,0,0
000007,drive-download-20260403T124026Z-3-001_224929\605013082.pdf,,7,trifasico,1/2,1670,480,4,60,IEC 63R,24,70,"56,33",SEM,1 X 27 (COBRE) - 10.5002.005,160:160,1:6:8,,,,VERDE_AUTO_GEMINI,,gemini,0.80,0,1/2,,,,,,1670,,,,,"56,33",,160:160,,,,,,,,,0,0,0,0
000008,drive-download-20260403T124026Z-3-001_224929\605013083.pdf,,8,trifasico,1/2,3375,220/380,2,60,IEC 63R,24,50mm,"49,40",SEM,1 X 26 (COBRE),115:115,1:10:12,,,,VERDE_AUTO_GEMINI,,gemini,0.90,0,1/2,,,,,,3375,,,,,"49,40",,115:115,,,,,,,,,0,0,0,0
000009,drive-download-20260403T124026Z-3-001_224929\605013090.pdf,,9,trifasico,1/2,1640,220/380/440,4,60,NEMA 42,24,50,"68,00",1,1 X 28 (COBRE),314:314,1:6:8,,,,VERDE_AUTO_GEMINI,,gemini,0.90,0,1/2,,,,,,1640,,,,,"68,00",,314:314,,,,,,,,,0,0,0,0
000010,drive-download-20260403T124026Z-3-001_224929\605013091.pdf,,10,trifasico,3/4,1610,220/380/440,4,60,NEMA 42,24,60,"68,00",SEM,1 X 27 (COBRE),258:258,1:6:8,,,,VERDE_AUTO_GEMINI,,gemini,0.90,0,3/4,,,,,,1610,,,,,"68,00",,258:258,,,,,,,,,0,0,0,0
