id_local,arquivo,lote,ordem,tipo_motor,potencia_cv,rpm,tensao,polos,frequencia,carcaca,ranhuras,pacote_mm,diametro_mm,capacitor,fio_principal,espiras_principal,passo_principal,fio_auxiliar,espiras_auxiliar,passo_auxiliar,status_revisao,motivos_bloqueio,fonte_extracao,confianca,precisa_humano
000001,drive-download-20260408T000443Z-3-001_253069\REGULADOR CR.pdf,,1,outro,,,,,,,,,,,,,,,,,VERMELHO_REVISAR,faltando_obrigatorio;baixa_confianca_local,gemini,0.00,1
000002,drive-download-20260408T000443Z-3-001_253069\ROT.PDF,,2,outro,,,"TODOS VOLTS, COM TC AJUSTÁVEL",4,60,,,90,160.50,,14,170,,,,,VERDE_AUTO_GEMINI,baixa_confianca_local,gemini,0.95,0
000003,drive-download-20260408T000511Z-3-001_428675\esquema vent. de ar.pdf,,3,monofasico,,,,8,,,24,,,,,08:20:36,1:3:5,,,1:4,AMARELO_REVISAR,faltando_obrigatorio,gemini,0.90,1
000004,drive-download-20260408T000517Z-3-001_345175\ventiladores 1.pdf,,4,outro,,,,,,,,,,,,,,,,,VERMELHO_REVISAR,faltando_obrigatorio;baixa_confianca_local;gemini_falhou:unknown_error:Extra data: line 63 column 4 (char 1544),local,0.00,1
000005,drive-download-20260408T000517Z-3-001_345175\ventiladores 2.pdf,,5,outro,,,,,,,,,,,,,,,,,VERMELHO_REVISAR,faltando_obrigatorio;baixa_confianca_local;gemini_falhou:unknown_error:Extra data: line 64 column 4 (char 1496),local,0.00,1
000006,drive-download-20260408T000517Z-3-001_345175\ventiladores 3.pdf,,6,outro,,,,,,,,17.5,44,,32,635,,34,80.152.455,,AMARELO_REVISAR,faltando_obrigatorio;baixa_confianca_local,gemini,0.70,1
000007,drive-download-20260408T000529Z-3-001_185960\0b36da0a-68fa-411f-8d98-42612aac07cd.jpg,,7,outro,55W,,220V,4,60Hz,CLASSE B,,13mm,43 mm,,AWG 34,750,PASSO UNICO,AWG 34,550,,VERDE_AUTO_GEMINI,baixa_confianca_local,gemini,0.80,0
000008,drive-download-20260408T000529Z-3-001_185960\1d217467-02db-4a7f-8017-ea2f9ac0a715.jpg,,8,monofasico,,,220,,60,,,15,46,Sim,35 AWG,950,4,36 AWG,"V1-250, V2-230, V3-460",4,AMARELO_REVISAR,baixa_confianca_local,gemini,0.70,1
000009,drive-download-20260408T000529Z-3-001_185960\1d9b3430-0b16-4701-b724-661974ff8b49.jpg,,9,outro,,,220,,60,,,,,,33 AWG,700,4,34 AWG,320,4,AMARELO_REVISAR,baixa_confianca_local,gemini,0.70,1
000010,drive-download-20260408T000529Z-3-001_185960\324e6cbc-2bab-43ed-9303-2d560b1da7ec.jpg,,10,monofasico,,,,,,,,,,,,,,,,,AMARELO_REVISAR,faltando_obrigatorio;baixa_confianca_local,gemini,0.80,1
000011,drive-download-20260408T000529Z-3-001_185960\6bbe2fd4-7adf-44a6-bdde-b89413fd6628.jpg,,11,outro,,,220V,4,60,,,,,,35 AWG,950,4,36 AWG,"V1-230, V2-230, V3-460",4,VERDE_AUTO_GEMINI,baixa_confianca_local,gemini,0.75,0
000012,drive-download-20260408T000529Z-3-001_185960\7a381ec7-685e-4eb4-bf68-a2470fcf7637.jpg,,12,outro,,,220,4,60,,,13,43,1 MF / 2 MF,1 x 34 AWG,750,4,1 x 34 AWG,550,4,VERDE_AUTO_GEMINI,baixa_confianca_local,gemini,0.80,0
000013,drive-download-20260408T000529Z-3-001_185960\80dae8d4-2a6d-4153-8b6c-c84b919e1600.jpg,,13,outro,,,110 V,,60,,,,,,27 AWG,986,,32 AWG,118,,VERDE_AUTO_GEMINI,baixa_confianca_local,gemini,0.90,0
000014,drive-download-20260408T000529Z-3-001_185960\8bc49b76-90d1-4f38-bd2f-86cd93ad3689.jpg,,14,outro,,,127/220,4,60,,8,25,45,,30 AWG COBRE,445,,31 AWG COBRE,535,,AMARELO_REVISAR,baixa_confianca_local,gemini,0.60,1
