id_local,arquivo,lote,ordem,tipo_motor,potencia_cv,rpm,tensao,polos,frequencia,carcaca,ranhuras,pacote_mm,diametro_mm,capacitor,fio_principal,espiras_principal,passo_principal,fio_auxiliar,espiras_auxiliar,passo_auxiliar,status_revisao,motivos_bloqueio,fonte_extracao,confianca,precisa_humano,potencia_cv_original_auditor,potencia_cv_normalizada,audit_normalizacao_rastreavel,audit_power_trace_note,audit_tipo_motor_sugerido,audit_type_trace_note,audit_rpm_original,audit_rpm_normalizado,audit_rpm_trace_note,audit_outlier_mecanico,audit_outlier_trace_note,diametro_mm_original_auditor,diametro_mm_normalizado,espiras_principal_original_auditor,espiras_auxiliar_original_auditor,espiras_principal_normalizada,espiras_auxiliar_normalizada,audit_espiras_trace_note,audit_trace_note,alertas,alertas_warnings,alertas_criticos,n_alertas,n_alertas_blocking,n_alertas_warnings,n_alertas_criticos
000001,drive-download-20260408T000517Z-3-001_345175\ventiladores 1.pdf,,1,outro,,,,,,,,,,,,,,,,,PAUSA_INFRA_SEM_CHAVE,infra:gemini_indisponivel_ou_quota,local,0.00,1,,,,,,,,,,,,,,,,,,,,A10_tipo_vazio_ou_desconhecido;A09_tensao_vazia,,A10_tipo_vazio_ou_desconhecido;A09_tensao_vazia,2,2,0,2
000002,drive-download-20260408T000517Z-3-001_345175\ventiladores 2.pdf,,2,outro,,,,,,,,,,,,,,,,,VERMELHO_REVISAR,faltando_obrigatorio;baixa_confianca_local;gemini_falhou:unknown_error:Extra data: line 40 column 4 (char 1377),local,0.00,1,,,,,,,,,,,,,,,,,,,,A10_tipo_vazio_ou_desconhecido;A09_tensao_vazia;S_pipeline_VERMELHO_REVISAR,,A10_tipo_vazio_ou_desconhecido;A09_tensao_vazia,3,2,0,2
000003,drive-download-20260408T000517Z-3-001_345175\ventiladores 3.pdf,,3,outro,,,,,,,,17.5,44,,32,635,,34,80.152.455,,AMARELO_REVISAR,faltando_obrigatorio;baixa_confianca_local,gemini,0.70,1,,,,,,,,,,,,44,,635,80.152.455,,,,,A10_tipo_vazio_ou_desconhecido;A09_tensao_vazia;S_pipeline_AMARELO_REVISAR,,A10_tipo_vazio_ou_desconhecido;A09_tensao_vazia,3,2,0,2
000004,drive-download-20260408T000529Z-3-001_185960\VENTILADOR 3 VELOCIDADES.pdf,,4,monofasico,,,,4,,,,16MM,46MM,2UF,32,620,4,34,435,4,AMARELO_REVISAR,faltando_obrigatorio,gemini,0.90,1,,,,,,,,,,,,46MM,,620,435,,,,,A09_tensao_vazia;S_pipeline_AMARELO_REVISAR,,A09_tensao_vazia,2,1,0,1
000005,drive-download-20260408T000511Z-3-001_428675\esquema vent. de ar.pdf,,5,monofasico,,,,8,,,24,,,,,08:20:36,1:3:5,,,1:4:1,AMARELO_REVISAR,faltando_obrigatorio,gemini,0.90,1,,,1,,,,,,,,,,,08:20:36,,8:20:36,,tokens_zeros_espiadas_substring_blob,,A09_tensao_vazia;A01_mono_sem_fio_espiras_passo_principal;A02_mono_sem_fio_espiras_passo_auxiliar;A06_WARNING_espiras_normalizada_rastreavel;S_pipeline_AMARELO_REVISAR,A06_WARNING_espiras_normalizada_rastreavel,A09_tensao_vazia;A01_mono_sem_fio_espiras_passo_principal;A02_mono_sem_fio_espiras_passo_auxiliar,5,3,1,3
000006,drive-download-20260408T000529Z-3-001_185960\1d217467-02db-4a7f-8017-ea2f9ac0a715.jpg,,6,monofasico,,,220,,60,,,15,46,Sim,35 AWG,950,4,36 AWG,"V1-250, V2-230, V3-460",4,AMARELO_REVISAR,baixa_confianca_local,gemini,0.70,1,,,,,,,,,,,,46,,950,"V1-250, V2-230, V3-460",,,,,S_pipeline_AMARELO_REVISAR,,,1,0,0,0
000007,drive-download-20260408T000529Z-3-001_185960\1d9b3430-0b16-4701-b724-661974ff8b49.jpg,,7,outro,,,220,,60,,,,,PRESENTE,33 AWG,700,4,34 AWG,160:160:320,4,AMARELO_REVISAR,baixa_confianca_local,gemini,0.70,1,,,1,,monofasico,auxiliar_e/ou_capacitor_preenchidos,,,,,,,,700,160:160:320,,,,,A10_WARNING_tipo_inferido_com_evidencia=monofasico;auxiliar_e/ou_capacitor_preenchidos;S_pipeline_AMARELO_REVISAR,A10_WARNING_tipo_inferido_com_evidencia=monofasico;auxiliar_e/ou_capacitor_preenchidos,,2,0,1,0
000008,drive-download-20260408T000529Z-3-001_185960\324e6cbc-2bab-43ed-9303-2d560b1da7ec.jpg,,8,monofasico,,,,,,,,,,,,,,,,,AMARELO_REVISAR,faltando_obrigatorio;baixa_confianca_local,gemini,0.80,1,,,,,,,,,,,,,,,,,,,,A09_tensao_vazia;A01_mono_sem_fio_espiras_passo_principal;A02_mono_sem_fio_espiras_passo_auxiliar;S_pipeline_AMARELO_REVISAR,,A09_tensao_vazia;A01_mono_sem_fio_espiras_passo_principal;A02_mono_sem_fio_espiras_passo_auxiliar,4,3,0,3
000009,drive-download-20260408T000529Z-3-001_185960\8bc49b76-90d1-4f38-bd2f-86cd93ad3689.jpg,,9,outro,,,127/220,4,60,,8,25,45,,30 AWG COBRE,445,,31 AWG COBRE,535,,AMARELO_REVISAR,baixa_confianca_local,gemini,0.60,1,,,,,,,,,,,,45,,445,535,,,,,A10_tipo_vazio_ou_desconhecido;S_pipeline_AMARELO_REVISAR,,A10_tipo_vazio_ou_desconhecido,2,1,0,1
000010,drive-download-20260408T000529Z-3-001_185960\bda2a6e0-62ba-4738-8a58-964852f4ad8d.jpg,,10,outro,,,220 VOLTS,,,,,30 mm,94 mm,,1 X 29 AWG ALUMÍNIO,390,1-4,1 X 30 COBRE,390,1-4,AMARELO_REVISAR,baixa_confianca_local,gemini,0.60,1,,,1,,monofasico,auxiliar_e/ou_capacitor_preenchidos,,,,,,94 mm,,390,390,,,,,A10_WARNING_tipo_inferido_com_evidencia=monofasico;auxiliar_e/ou_capacitor_preenchidos;S_pipeline_AMARELO_REVISAR,A10_WARNING_tipo_inferido_com_evidencia=monofasico;auxiliar_e/ou_capacitor_preenchidos,,2,0,1,0
