id_local,arquivo,lote,ordem,tipo_motor,potencia_cv,rpm,tensao,polos,frequencia,carcaca,ranhuras,pacote_mm,diametro_mm,capacitor,fio_principal,espiras_principal,passo_principal,fio_auxiliar,espiras_auxiliar,passo_auxiliar,status_revisao,motivos_bloqueio,fonte_extracao,confianca,precisa_humano,categoria,notas,campos_obrig_faltando,alertas_criticos_A,audit_normalizacao_rastreavel,audit_warnings_A,audit_outlier_mecanico,audit_outlier_trace_note,diametro_mm_original_auditor,diametro_mm_normalizado,espiras_principal_original_auditor,espiras_auxiliar_original_auditor,espiras_principal_normalizada,espiras_auxiliar_normalizada,audit_espiras_trace_note,gemini_falhou,gemini_erro_resumo
000001,drive-download-20260403T124026Z-3-001_224929\605028115.pdf,,1,trifasico,"12,5",2900,220/380/440,2,50,IEC 132,,150,111.80,SEM,2 X 20 + 2 X 21 (COBRE) - 10.5002.010 + 10.5002.008,25:25:25,1:14:16:18,,,,VERDE_AUTO_GEMINI,,gemini,0.90,0,VERDE_COM_ALERTA,"A*:A07_potencia_decimal_sem_evidencia_frac_potencia_cv=12,5",,"A07_potencia_decimal_sem_evidencia_frac_potencia_cv=12,5",1,,,,111.80,,25:25:25,,,,,0,
000002,drive-download-20260403T124026Z-3-001_224929\605028315.pdf,,2,trifasico,"12,5",3490,380/660,2,60,IEC 132,36,,"111,80",SEM,2 X 20,43:43:43,1:14:16:18,,,,VERDE_AUTO_GEMINI,,gemini,0.95,0,VERDE_COM_ALERTA,"A*:A07_potencia_decimal_sem_evidencia_frac_potencia_cv=12,5",,"A07_potencia_decimal_sem_evidencia_frac_potencia_cv=12,5",,,,,"111,80",,43:43:43,,,,,0,
000003,drive-download-20260403T124026Z-3-001_224929\605028715.pdf,,3,trifasico,"12,5",3490,220/380/440,2,60,IEC 132,36,140,"111,80",SEM,2 X 20 + 2 X 21 (COBRE) - 10.5002.010 + 10.5002.008,25:25:25,1:14:16:18,,,,VERDE_AUTO_GEMINI,,gemini,0.90,0,VERDE_COM_ALERTA,"A*:A07_potencia_decimal_sem_evidencia_frac_potencia_cv=12,5",,"A07_potencia_decimal_sem_evidencia_frac_potencia_cv=12,5",,,,,"111,80",,25:25:25,,,,,0,
000004,drive-download-20260403T124026Z-3-001_224929\605029715.pdf,,4,trifasico,"12,5",1750,220/380/440,4,60,IEC 132,48,150,"148,60",SEM,6 X 22,25:25,1:10:12,,,,VERDE_AUTO_GEMINI,,gemini,0.80,0,VERDE_COM_ALERTA,"A*:A07_potencia_decimal_sem_evidencia_frac_potencia_cv=12,5",,"A07_potencia_decimal_sem_evidencia_frac_potencia_cv=12,5",,,,,"148,60",,25:25,,,,,0,
000005,drive-download-20260403T124026Z-3-001_224929\605041001.pdf,,5,trifasico,1/3,3583,180,4,120,IEC 63,24,40mm,"56,40",SEM,1 X 24 (COBRE) - 10.5002.002,94:94,1:6:8,,,,VERDE_AUTO_GEMINI,,gemini,0.85,0,VERDE_COM_ALERTA,A*:A08_rpm_fora_faixa_polos_4p_(1200-1900)_rpm=3583,,A08_rpm_fora_faixa_polos_4p_(1200-1900)_rpm=3583,,,,,"56,40",,94:94,,,,,0,
000006,drive-download-20260403T124026Z-3-001_224929\605042620.pdf,,6,monofasico,1/2,1575,127/220,4,60,NEMA 42 MUELLER,24,60,"68,00",35UF 250VAC,2 X 21,25:36,1:4:6,1 X 22,22:62,1:4:6,VERDE_AUTO_GEMINI,,gemini,0.90,0,VERDE_SEGURO,,,,,,,,"68,00",,25:36,22:62,,,,0,
000007,drive-download-20260403T124026Z-3-001_224929\605042623.pdf,,7,monofasico,2,1690,110-127/220-254,4,60,NEMA 56,32,90,"97,40",10.5038.011 CP 540/648UF 110VAC C/ TERM,2 X 19 (COBRE) - 10.5002.011,12:25:26,1:4:6:8,1 X 18 (COBRE) - 10.5002.012,10:30,1:6:8,VERDE_AUTO_GEMINI,,gemini,0.90,0,VERDE_SEGURO,,,,,,,,"97,40",,12:25:26,10:30,,,,0,
000008,drive-download-20260403T124026Z-3-001_224929\605044009.pdf,,8,monofasico,1/2,1090,127/220,6,60,NEMA 48,36,,"81,40",40UF 250VAC,2 X 21,19:35,1:4:6,2 X 23,25:56,1:4:6,VERDE_AUTO_GEMINI,,gemini,0.90,0,VERDE_SEGURO,,,,,,,,"81,40",,19:35,25:56,,,,0,
000009,drive-download-20260403T124026Z-3-001_224929\605044010.pdf,,9,trifasico,1/2,890 / 1055,220/380,6,50/60,NEMA 48,36,55,"81,40",SEM,1 X 24 (COBRE) - 10.5002.002,120,1:6,,,,VERDE_AUTO_GEMINI,,gemini,0.90,0,VERDE_SEGURO,,,,,,,,"81,40",,120,,,,,0,
000010,drive-download-20260403T124026Z-3-001_224929\605046020.pdf,,10,monofasico,2,1720,110-127/220-254,4,60,NEMA 56,32,75,"97,40","50uF 250V (Permanente), 430/516uF 110V (Partida)",2 X 20 (COBRE) - 10.5002.010,10:22:33,1:4:6:8,1 X 18 (COBRE) - 10.5002.012,12:14:30,1:4:6:8,VERDE_AUTO_GEMINI,,gemini,0.85,0,VERDE_SEGURO,,,,,,,,"97,40",,10:22:33,12:14:30,,,,0,
000011,drive-download-20260403T124026Z-3-001_224929\605046028.pdf,,11,monofasico,2,1720,110-127/220-254,4,60,NEMA 56,,75,"97,40",CAPACITOR PERM. 50UF 250VAC UL C/ TERMINAL (LIGADO NOS CABOS BRANCOS) / CAPACITOR ELETR. 430/516UF 110VAC C/ TERMINAL 1L (LIGADO NOS CABOS PRETOS),1 X 20,20:44:66,1:4:6:8,1 X 18,12:14:30,1:4:6:8,VERDE_AUTO_GEMINI,,gemini,0.90,0,VERDE_SEGURO,,,,,,,,"97,40",,20:44:66,12:14:30,,,,0,
000012,drive-download-20260403T124026Z-3-001_224929\605046031.pdf,,12,monofasico,"1,5",1720,110-127/220-254,4,60,NEMA 56,32,60,"97,40","10.5014.313 (Cabo Capacitor / Platinado); 10.5005.115 (CAPACITOR PERM. 50UF 250VAC UL C/ TERMINAL, ligado nos cabos brancos); 10.5038.009 (CAPACITOR ELETR. 378/454UF 110VAC C/ TERMINAL 1L, ligado nos cabos pretos)",1 X 21 (COBRE) - 10.5002.008,28:48:80,1:4:6:8,2 X 21 (COBRE) - 10.5002.008,14:14:32,1:4:6:8,VERDE_AUTO_GEMINI,,gemini,0.90,0,VERDE_SEGURO,,,,,,,,"97,40",,28:48:80,14:14:32,,,,0,
000013,drive-download-20260403T124026Z-3-001_224929\605052005.pdf,,13,trifasico,3/4,3340,220/380,2,60,NEMA 42,24,50,"57,90",SEM,1 X 23 (COBRE) - 10.5002.001,86:86,1:10:12,,,,VERDE_AUTO_GEMINI,,gemini,0.95,0,VERDE_SEGURO,,,,,,,,"57,90",,86:86,,,,,0,
000014,drive-download-20260403T124026Z-3-001_224929\605058004.pdf,,14,trifasico,1/2,1680,220/380,4,60,NEMA 42,24,70,"68,00",SEM,1 X 24,120:120,1:6:8,,,,VERDE_AUTO_GEMINI,,gemini,0.85,0,VERDE_SEGURO,,,,,,,,"68,00",,120:120,,,,,0,
