id_local,arquivo,lote,ordem,tipo_motor,potencia_cv,rpm,tensao,polos,frequencia,carcaca,ranhuras,pacote_mm,diametro_mm,capacitor,fio_principal,espiras_principal,passo_principal,fio_auxiliar,espiras_auxiliar,passo_auxiliar,status_revisao,motivos_bloqueio,fonte_extracao,confianca,precisa_humano
000001,drive-download-20260403T124026Z-3-001_224929\605058002.pdf,,1,trifasico,1/4,1695,220/380,4,60,IEC 63R,,45mm,"56,40 FLAMADO",SEM,1 X 27 (COBRE) - 10.5002.005,185:185,1:6:8,,,,VERDE_AUTO_GEMINI,,gemini,1.00,0
000002,drive-download-20260403T124026Z-3-001_224929\605058003.pdf,,2,trifasico,1/3,1690,220/380,4,60,IEC 63R,,,"56,40",SEM,1 X 26 (COBRE) - 10.5002.004,150-150,1:6:8,,,,VERDE_AUTO_GEMINI,,gemini,0.90,0
000004,drive-download-20260403T124026Z-3-001_224929\605058005.pdf,,4,trifasico,3/4,1640,220/380,4,60,NEMA 42,24,80mm,"68,00",SEM,1 X 23 (COBRE) - 10.5002.001,98:98,1:6:8,,,,VERDE_AUTO_GEMINI,,gemini,1.00,0
000006,drive-download-20260403T124026Z-3-001_224929\605058007.pdf,,6,trifasico,"1,5",1730,220/380,4,60,IEC 80,36,95,"81,40",SEM,2 X 24,45:45 / 45,1:8:10 / 1:8,,,,VERDE_AUTO_GEMINI,,gemini,0.85,0
000007,drive-download-20260403T124026Z-3-001_224929\605058008.pdf,,7,trifasico,2,1740,220/380,4,60,IEC 90,,100,89.40,SEM,1 X 22 + 1 X 23 (COBRE) - 10.5002.009 + 10.5002.001,38 / 38,1:8:10 / 1:8,,,,VERDE_AUTO_GEMINI,,gemini,1.00,0
000008,drive-download-20260403T124026Z-3-001_224929\605058009.pdf,,8,trifasico,3,1740,220/380,4,60,IEC90,36,,"89,40",SEM,2 X 21 (COBRE) - 10.5002.008,29 / 29 / 29,1:8:10 / 1:8,,,,VERDE_AUTO_GEMINI,,gemini,0.80,0
000009,drive-download-20260403T124026Z-3-001_224929\605059003.pdf,,9,trifasico,1/2,2745/3375,220/380,2,50/60,IEC 63R,,,"49,40 FLAMADO",SEM,1 X 26 (COBRE) - 10.5002.004,115:115,1:10:12,,,,VERDE_AUTO_GEMINI,,gemini,0.90,0
000010,drive-download-20260403T124026Z-3-001_224929\605059006.pdf,,10,trifasico,1,3380,220/380,2,60,NEMA 42,24,70mm,"57,90",SEM,1 X 24 + 1 X 25 (COBRE) - 10.5002.002 + 10.5002.003,64:64,1:10:12,,,,VERDE_AUTO_GEMINI,,gemini,1.00,0
000011,drive-download-20260403T124026Z-3-001_224929\605059007.pdf,,11,trifasico,"1,5",3420,220/380,2,60,IEC 80,24,70,"61,40",SEM,2 X 23 (COBRE) - 10.5002.001,60:60,1:10:12,,,,VERDE_AUTO_GEMINI,,gemini,0.90,0
000012,drive-download-20260403T124026Z-3-001_224929\605059008.pdf,,12,trifasico,2,3380,220/380,2,60,,,80,"61,40","61,40",1 X 22 + 1 X 23 (COBRE) - 10.5002.009 + 10.5002.001,52:52,1:10:12,,,,VERDE_AUTO_GEMINI,,gemini,0.95,0
000013,drive-download-20260403T124026Z-3-001_224929\605059009.pdf,,13,trifasico,3,3470,220/380,2,60,IEC 90,24,100mm,"74,20 FLAMADO",SEM,3 X 22 (COBRE) - 10.5002.009,36:36,1:10:12,,,,VERDE_AUTO_GEMINI,,gemini,1.00,0
000014,drive-download-20260403T124026Z-3-001_224929\605059010.pdf,,14,trifasico,4,3470,220/380,2,60,IEC 90,24,115mm,74.20,SEM,3 X 21 (COBRE) - 10.5002.008,29:29,1:10:12,,,,VERDE_AUTO_GEMINI,,gemini,0.90,0
